2024-10-07 00:37:53,870 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.1,0.1,0.02,2021
2024-10-07 00:37:53,872 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2021
2024-10-07 00:37:53,872 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 00:37:53,963 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2351, l2 distance: 36.4442, acc: 0.90.
2024-10-07 00:37:53,964 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 00:37:53,965 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 9.05939251 17.1373287   9.50347978 12.39752865]
2024-10-07 00:37:54,184 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8285, 7.1348, 3.2752
2024-10-07 00:37:54,413 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 00:37:55,643 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.1558, val_loss:  12.4221, grad_norm: 0.4595, live_grad: 0.0000, reward_err: 0.0104, 0.0142, 0.0002, KL_dist: 0.6568, 0.3052, 0.6500, param: [5.44248962 8.3005987  5.14424008 8.57363224], weights: [0.33288853 0.33281143 0.33430004], train_wt_loss:  36.4675, val_wt_loss: 37.2662, train_grp_loss: [11.80461978 13.07608153 10.73316709], val_grp_loss: [12.66630053 12.4532737  12.14593623], train_hist_grp_loss: [0.15100158 0.13942111 0.36256349], cur_train_grp_loss: [0.15100158 0.13942111 0.36256349], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6568, max_kl_dist_index: 0, max_train_grp_loss:  13.0761, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6663, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.3626, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:37:56,759 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.1558, val_loss:  12.4221, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0104, 0.0142, 0.0002, KL_dist: 0.6569, 0.3052, 0.6500, param: [5.44260824 8.30025507 5.14475441 8.57437301], weights: [0.33259833 0.33258896 0.33481271], train_wt_loss:  36.4675, val_wt_loss: 37.2664, train_grp_loss: [11.80476687 13.076004   10.7329941 ], val_grp_loss: [12.66653435 12.45319094 12.14595587], train_hist_grp_loss: [0.24543854 0.24402976 0.57722683], cur_train_grp_loss: [0.09443696 0.10460865 0.21466334], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6569, max_kl_dist_index: 0, max_train_grp_loss:  13.0760, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6665, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2147, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:37:57,812 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.1558, val_loss:  12.4222, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6569, 0.3052, 0.6501, param: [5.44272661 8.299912   5.14526918 8.57511599], weights: [0.33230801 0.33236624 0.33532576], train_wt_loss:  36.4675, val_wt_loss: 37.2666, train_grp_loss: [11.80491313 13.07592767 10.73282066], val_grp_loss: [12.66676748 12.45310954 12.14597518], train_hist_grp_loss: [0.33987667 0.34863779 0.79188671], cur_train_grp_loss: [0.09443813 0.10460803 0.21465988], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6569, max_kl_dist_index: 0, max_train_grp_loss:  13.0759, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6668, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2147, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:37:58,906 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.1558, val_loss:  12.4223, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6570, 0.3053, 0.6501, param: [5.44284472 8.29956949 5.14578439 8.57586117], weights: [0.33201755 0.33214328 0.33583917], train_wt_loss:  36.4675, val_wt_loss: 37.2668, train_grp_loss: [11.80505856 13.07585253 10.73264678], val_grp_loss: [12.66699993 12.4530295  12.14599418], train_hist_grp_loss: [0.43431598 0.45324521 1.00654312], cur_train_grp_loss: [0.09443931 0.10460742 0.21465641], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6570, max_kl_dist_index: 0, max_train_grp_loss:  13.0759, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6670, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2147, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:38:00,043 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.1558, val_loss:  12.4223, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6570, 0.3053, 0.6502, param: [5.44296258 8.29922753 5.14630005 8.57660856], weights: [0.33172698 0.33192007 0.33635295], train_wt_loss:  36.4675, val_wt_loss: 37.2669, train_grp_loss: [11.80520316 13.07577859 10.73247245], val_grp_loss: [12.66723169 12.45295082 12.14601285], train_hist_grp_loss: [0.52875644 0.55785203 1.22119606], cur_train_grp_loss: [0.09444047 0.10460682 0.21465294], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6570, max_kl_dist_index: 0, max_train_grp_loss:  13.0758, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6672, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2147, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:38:01,132 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.1558, val_loss:  12.4224, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6571, 0.3053, 0.6502, param: [5.44308017 8.29888612 5.14681616 8.57735815], weights: [0.33143627 0.33169662 0.3368671 ], train_wt_loss:  36.4675, val_wt_loss: 37.2671, train_grp_loss: [11.80534692 13.07570585 10.73229769], val_grp_loss: [12.66746276 12.4528735  12.1460312 ], train_hist_grp_loss: [0.62319807 0.66245826 1.43584551], cur_train_grp_loss: [0.09444163 0.10460623 0.21464945], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6571, max_kl_dist_index: 0, max_train_grp_loss:  13.0757, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6675, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:38:02,213 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.1558, val_loss:  12.4224, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6571, 0.3054, 0.6503, param: [5.4431975  8.29854526 5.14733271 8.57810996], weights: [0.33114545 0.33147293 0.33738162], train_wt_loss:  36.4675, val_wt_loss: 37.2673, train_grp_loss: [11.80548984 13.0756343  10.73212248], val_grp_loss: [12.66769315 12.45279754 12.14604924], train_hist_grp_loss: [0.71764085 0.76706391 1.65049146], cur_train_grp_loss: [0.09444278 0.10460565 0.21464595], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6571, max_kl_dist_index: 0, max_train_grp_loss:  13.0756, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6677, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:38:03,298 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.1558, val_loss:  12.4225, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6572, 0.3054, 0.6503, param: [5.44331457 8.29820496 5.14784971 8.57886398], weights: [0.33085449 0.331249   0.33789651], train_wt_loss:  36.4675, val_wt_loss: 37.2674, train_grp_loss: [11.80563194 13.07556395 10.73194683], val_grp_loss: [12.66792286 12.45272295 12.14606695], train_hist_grp_loss: [0.81208476 0.87166898 1.86513391], cur_train_grp_loss: [0.09444392 0.10460507 0.21464245], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6572, max_kl_dist_index: 0, max_train_grp_loss:  13.0756, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6679, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:38:04,298 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.1558, val_loss:  12.4225, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6572, 0.3054, 0.6503, param: [5.44343138 8.29786521 5.14836716 8.57962022], weights: [0.33056341 0.33102483 0.33841176], train_wt_loss:  36.4675, val_wt_loss: 37.2676, train_grp_loss: [11.8057732  13.0754948  10.73177073], val_grp_loss: [12.66815187 12.45264972 12.14608433], train_hist_grp_loss: [0.90652982 0.9762735  2.07977285], cur_train_grp_loss: [0.09444506 0.10460451 0.21463894], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6572, max_kl_dist_index: 0, max_train_grp_loss:  13.0755, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6682, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:38:05,314 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.1558, val_loss:  12.4226, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6573, 0.3054, 0.6504, param: [5.44354794 8.297526   5.14888506 8.58037868], weights: [0.33027221 0.33080042 0.33892737], train_wt_loss:  36.4675, val_wt_loss: 37.2678, train_grp_loss: [11.80591363 13.07542685 10.7315942 ], val_grp_loss: [12.6683802  12.45257785 12.1461014 ], train_hist_grp_loss: [1.000976   1.08087745 2.29440826], cur_train_grp_loss: [0.09444619 0.10460396 0.21463541], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6573, max_kl_dist_index: 0, max_train_grp_loss:  13.0754, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6684, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:38:06,321 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.1558, val_loss:  12.4227, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6573, 0.3055, 0.6504, param: [5.44366423 8.29718735 5.14940341 8.58113935], weights: [0.32998089 0.33057577 0.33944335], train_wt_loss:  36.4675, val_wt_loss: 37.2680, train_grp_loss: [11.80605323 13.0753601  10.73141722], val_grp_loss: [12.66860785 12.45250735 12.14611815], train_hist_grp_loss: [1.09542331 1.18548087 2.50904015], cur_train_grp_loss: [0.09444731 0.10460341 0.21463188], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6573, max_kl_dist_index: 0, max_train_grp_loss:  13.0754, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6686, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
