2024-10-07 00:41:28,559 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.1,0.1,0.02,2022
2024-10-07 00:41:28,561 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2022
2024-10-07 00:41:28,562 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 00:41:28,653 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.3214, l2 distance: 25.6155, acc: 0.89.
2024-10-07 00:41:28,654 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 00:41:28,655 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 4.91492317 13.51244723  6.71533233  9.49961375]
2024-10-07 00:41:28,873 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8530, 6.9304, 3.3326
2024-10-07 00:41:29,106 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 00:41:30,371 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  13.4334, val_loss:  12.2619, grad_norm: 0.5704, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.1508262  9.52426175 4.95548794 8.85653162], weights: [0.33267478 0.33275415 0.33457107], train_wt_loss:  40.3003, val_wt_loss: 36.7857, train_grp_loss: [11.73538699 15.8963272  11.15342789], val_grp_loss: [10.62053484 14.91092252 11.27012295], train_hist_grp_loss: [0.17243466 0.18436246 0.45663202], cur_train_grp_loss: [0.17243466 0.18436246 0.45663202], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8963, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9109, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.4566, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:31,435 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  13.4334, val_loss:  12.2619, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.15086982 9.52367791 4.95580479 8.8567021 ], weights: [0.33229387 0.33256323 0.3351429 ], train_wt_loss:  40.3003, val_wt_loss: 36.7856, train_grp_loss: [11.73574059 15.89594564 11.15354201], val_grp_loss: [10.62080368 14.91041062 11.27026321], train_hist_grp_loss: [0.26707488 0.3075898  0.693939  ], cur_train_grp_loss: [0.09464022 0.12322734 0.23730698], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8959, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9104, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:32,555 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3478, 0.6807, param: [4.15091251 9.52309607 4.95612097 8.85687469], weights: [0.3319129 0.3323719 0.3357152], train_wt_loss:  40.3003, val_wt_loss: 36.7855, train_grp_loss: [11.73609217 15.89556642 11.15365527], val_grp_loss: [10.62107075 14.90990221 11.27040282], train_hist_grp_loss: [0.36171795 0.43081419 0.9312484 ], cur_train_grp_loss: [0.09464307 0.12322438 0.2373094 ], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8956, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9099, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:33,677 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0000, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3478, 0.6807, param: [4.15095428 9.52251623 4.95643648 8.85704938], weights: [0.33153188 0.33218014 0.33628799], train_wt_loss:  40.3003, val_wt_loss: 36.7854, train_grp_loss: [11.73644174 15.89518955 11.15376766], val_grp_loss: [10.62133602 14.90939732 11.27054176], train_hist_grp_loss: [0.45636385 0.55403563 1.16856022], cur_train_grp_loss: [0.0946459  0.12322145 0.23731181], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8952, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9094, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:34,806 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3478, 0.6807, param: [4.15099513 9.52193837 4.95675132 8.85722618], weights: [0.3311508  0.33198796 0.33686124], train_wt_loss:  40.3003, val_wt_loss: 36.7853, train_grp_loss: [11.73678928 15.89481504 11.1538792 ], val_grp_loss: [10.62159951 14.90889594 11.27068005], train_hist_grp_loss: [0.55101258 0.67725416 1.40587442], cur_train_grp_loss: [0.09464872 0.12321852 0.23731421], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8948, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9089, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:35,907 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3478, 0.6806, param: [4.15103504 9.52136251 4.95706548 8.85740509], weights: [0.33076967 0.33179536 0.33743497], train_wt_loss:  40.3003, val_wt_loss: 36.7852, train_grp_loss: [11.7371348  15.89444288 11.15398987], val_grp_loss: [10.62186121 14.90839807 11.27081768], train_hist_grp_loss: [0.6456641  0.80046978 1.643191  ], cur_train_grp_loss: [0.09465153 0.12321562 0.23731658], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8944, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9084, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:37,012 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15107403 9.52078865 4.95737897 8.85758612], weights: [0.33038849 0.33160234 0.33800917], train_wt_loss:  40.3003, val_wt_loss: 36.7851, train_grp_loss: [11.7374783  15.89407308 11.15409968], val_grp_loss: [10.62212112 14.90790372 11.27095465], train_hist_grp_loss: [0.74031842 0.92368251 1.88050994], cur_train_grp_loss: [0.09465431 0.12321274 0.23731893], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8941, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9079, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:38,056 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15111209 9.52021679 4.95769179 8.85776926], weights: [0.33000725 0.3314089  0.33858384], train_wt_loss:  40.3003, val_wt_loss: 36.7850, train_grp_loss: [11.73781977 15.89370563 11.15420863], val_grp_loss: [10.62237923 14.90741288 11.27109096], train_hist_grp_loss: [0.8349755  1.04689238 2.11783121], cur_train_grp_loss: [0.09465708 0.12320987 0.23732127], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8937, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9074, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:39,102 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  13.4334, val_loss:  12.2616, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15114922 9.51964692 4.95800392 8.85795452], weights: [0.32962597 0.33121505 0.33915898], train_wt_loss:  40.3003, val_wt_loss: 36.7849, train_grp_loss: [11.73815921 15.89334055 11.1543167 ], val_grp_loss: [10.62263555 14.90692556 11.2712266 ], train_hist_grp_loss: [0.92963534 1.1700994  2.35515479], cur_train_grp_loss: [0.09465984 0.12320702 0.23732359], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8933, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9069, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:40,150 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  13.4334, val_loss:  12.2616, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15118542 9.51907905 4.95831539 8.85814189], weights: [0.32924463 0.33102078 0.33973459], train_wt_loss:  40.3003, val_wt_loss: 36.7849, train_grp_loss: [11.73849662 15.89297782 11.15442392], val_grp_loss: [10.62289007 14.90644177 11.27136158], train_hist_grp_loss: [1.02429791 1.29330359 2.59248068], cur_train_grp_loss: [0.09466257 0.12320419 0.23732589], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8930, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9064, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:41:41,163 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  13.4334, val_loss:  12.2616, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6805, param: [4.1512207  9.51851318 4.95862617 8.85833139], weights: [0.32886325 0.33082609 0.34031066], train_wt_loss:  40.3003, val_wt_loss: 36.7848, train_grp_loss: [11.738832   15.89261745 11.15453026], val_grp_loss: [10.6231428 14.9059615 11.2714959], train_hist_grp_loss: [1.11896321 1.41650497 2.82980885], cur_train_grp_loss: [0.0946653  0.12320138 0.23732817], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6805, max_kl_dist_index: 2, max_train_grp_loss:  15.8926, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9060, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
