2024-10-07 00:48:43,631 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.1,0.1,0.03,2021
2024-10-07 00:48:43,633 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2021
2024-10-07 00:48:43,633 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 00:48:43,725 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2351, l2 distance: 36.4442, acc: 0.90.
2024-10-07 00:48:43,726 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 00:48:43,728 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 9.05939251 17.1373287   9.50347978 12.39752865]
2024-10-07 00:48:43,950 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8285, 7.1348, 3.2752
2024-10-07 00:48:44,183 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 00:48:45,442 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.1558, val_loss:  12.4221, grad_norm: 0.4595, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6569, 0.3052, 0.6501, param: [5.44237945 8.3010521  5.14444083 8.57486251], weights: [0.33266582 0.33255027 0.33478392], train_wt_loss:  36.4675, val_wt_loss: 37.2663, train_grp_loss: [11.80405126 13.07676556 10.73288033], val_grp_loss: [12.66582996 12.45403453 12.14569395], train_hist_grp_loss: [0.15100158 0.13942111 0.36256349], cur_train_grp_loss: [0.15100158 0.13942111 0.36256349], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6569, max_kl_dist_index: 0, max_train_grp_loss:  13.0768, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6658, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.3626, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:46,501 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.1558, val_loss:  12.4222, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6570, 0.3053, 0.6502, param: [5.44255734 8.30053637 5.14521359 8.57597671], weights: [0.33223018 0.33221624 0.33555358], train_wt_loss:  36.4675, val_wt_loss: 37.2665, train_grp_loss: [11.8042716  13.07665009 10.73262024], val_grp_loss: [12.66618064 12.45391131 12.14572326], train_hist_grp_loss: [0.24543399 0.24403523 0.57722109], cur_train_grp_loss: [0.09443241 0.10461412 0.21465761], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6570, max_kl_dist_index: 0, max_train_grp_loss:  13.0767, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6662, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2147, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:47,595 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.1558, val_loss:  12.4223, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6571, 0.3053, 0.6502, param: [5.44273466 8.30002189 5.14598734 8.57709587], weights: [0.33179425 0.33188166 0.33632408], train_wt_loss:  36.4675, val_wt_loss: 37.2668, train_grp_loss: [11.80449007 13.07653731 10.73235915], val_grp_loss: [12.66652976 12.45379116 12.14575185], train_hist_grp_loss: [0.33986816 0.34864843 0.7918735 ], cur_train_grp_loss: [0.09443417 0.1046132  0.2146524 ], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6571, max_kl_dist_index: 0, max_train_grp_loss:  13.0765, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6665, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2147, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:48,677 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.1558, val_loss:  12.4224, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6571, 0.3054, 0.6503, param: [5.44291139 8.29950866 5.14676211 8.57822001], weights: [0.33135805 0.33154654 0.33709541], train_wt_loss:  36.4675, val_wt_loss: 37.2671, train_grp_loss: [11.80470666 13.07642722 10.73209706], val_grp_loss: [12.66687735 12.45367408 12.14577971], train_hist_grp_loss: [0.43430408 0.45326073 1.00652068], cur_train_grp_loss: [0.09443592 0.1046123  0.21464718], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6571, max_kl_dist_index: 0, max_train_grp_loss:  13.0764, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6669, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:49,801 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.1558, val_loss:  12.4224, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6572, 0.3054, 0.6504, param: [5.44308753 8.29899667 5.14753787 8.57934912], weights: [0.33092156 0.33121088 0.33786756], train_wt_loss:  36.4675, val_wt_loss: 37.2673, train_grp_loss: [11.80492137 13.07631983 10.73183398], val_grp_loss: [12.66722339 12.45356006 12.14580685], train_hist_grp_loss: [0.52874173 0.55787215 1.22116262], cur_train_grp_loss: [0.09443765 0.10461142 0.21464194], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6572, max_kl_dist_index: 0, max_train_grp_loss:  13.0763, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6672, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:50,943 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.1558, val_loss:  12.4225, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6573, 0.3054, 0.6504, param: [5.44326309 8.29848592 5.14831465 8.58048322], weights: [0.33048479 0.33087468 0.33864054], train_wt_loss:  36.4675, val_wt_loss: 37.2676, train_grp_loss: [11.80513421 13.07621514 10.7315699 ], val_grp_loss: [12.66756788 12.45344911 12.14583327], train_hist_grp_loss: [0.62318111 0.66248271 1.4357993 ], cur_train_grp_loss: [0.09443937 0.10461056 0.21463668], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6573, max_kl_dist_index: 0, max_train_grp_loss:  13.0762, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6676, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:52,018 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.1558, val_loss:  12.4226, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6574, 0.3055, 0.6505, param: [5.44343807 8.29797641 5.14909244 8.58162231], weights: [0.33004774 0.33053793 0.33941433], train_wt_loss:  36.4675, val_wt_loss: 37.2678, train_grp_loss: [11.80534518 13.07611315 10.73130483], val_grp_loss: [12.66791083 12.45334124 12.14585897], train_hist_grp_loss: [0.71762218 0.76709243 1.6504307 ], cur_train_grp_loss: [0.09444107 0.10460972 0.2146314 ], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6574, max_kl_dist_index: 0, max_train_grp_loss:  13.0761, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6679, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:53,025 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.1558, val_loss:  12.4227, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6575, 0.3055, 0.6506, param: [5.44361245 8.29746814 5.14987124 8.5827664 ], weights: [0.32961042 0.33020065 0.34018894], train_wt_loss:  36.4675, val_wt_loss: 37.2681, train_grp_loss: [11.80555427 13.07601387 10.73103876], val_grp_loss: [12.66825224 12.45323644 12.14588395], train_hist_grp_loss: [0.81206494 0.87170133 1.8650568 ], cur_train_grp_loss: [0.09444276 0.10460891 0.2146261 ], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6575, max_kl_dist_index: 0, max_train_grp_loss:  13.0760, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6683, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:54,071 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.1558, val_loss:  12.4228, grad_norm: 0.0005, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6575, 0.3056, 0.6506, param: [5.44378624 8.29696111 5.15065106 8.58391549], weights: [0.32917282 0.32986283 0.34096435], train_wt_loss:  36.4675, val_wt_loss: 37.2684, train_grp_loss: [11.80576149 13.0759173  10.73077169], val_grp_loss: [12.66859211 12.45313472 12.1459082 ], train_hist_grp_loss: [0.90650937 0.97630945 2.07967757], cur_train_grp_loss: [0.09444443 0.10460811 0.21462078], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6575, max_kl_dist_index: 0, max_train_grp_loss:  13.0759, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6686, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:55,095 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.1558, val_loss:  12.4229, grad_norm: 0.0005, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6576, 0.3056, 0.6507, param: [5.44395944 8.29645531 5.1514319  8.5850696 ], weights: [0.32873495 0.32952447 0.34174058], train_wt_loss:  36.4675, val_wt_loss: 37.2686, train_grp_loss: [11.80596683 13.07582343 10.73050362], val_grp_loss: [12.66893044 12.45303608 12.14593174], train_hist_grp_loss: [1.00095547 1.08091678 2.29429301], cur_train_grp_loss: [0.09444609 0.10460734 0.21461543], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6576, max_kl_dist_index: 0, max_train_grp_loss:  13.0758, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6689, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 00:48:56,103 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.1558, val_loss:  12.4230, grad_norm: 0.0006, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6577, 0.3057, 0.6508, param: [5.44413206 8.29595074 5.15221376 8.58622873], weights: [0.3282968  0.32918559 0.34251761], train_wt_loss:  36.4675, val_wt_loss: 37.2689, train_grp_loss: [11.80617031 13.07573228 10.73023455], val_grp_loss: [12.66926722 12.45294052 12.14595456], train_hist_grp_loss: [1.0954032  1.18552337 2.50890308], cur_train_grp_loss: [0.09444773 0.10460659 0.21461007], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6577, max_kl_dist_index: 0, max_train_grp_loss:  13.0757, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6693, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
