2024-10-07 01:03:09,729 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.1,0.1,0.04,2022
2024-10-07 01:03:09,731 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2022
2024-10-07 01:03:09,732 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 01:03:09,821 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.3214, l2 distance: 25.6155, acc: 0.89.
2024-10-07 01:03:09,822 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 01:03:09,823 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 4.91492317 13.51244723  6.71533233  9.49961375]
2024-10-07 01:03:10,042 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8530, 6.9304, 3.3326
2024-10-07 01:03:10,271 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 01:03:11,494 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  13.4334, val_loss:  12.2621, grad_norm: 0.5704, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6507, 0.3479, 0.6809, param: [4.15023342 9.52499961 4.95539468 8.85793795], weights: [0.33201524 0.33217368 0.33581108], train_wt_loss:  40.3003, val_wt_loss: 36.7862, train_grp_loss: [11.73442877 15.89741443 11.15297469], val_grp_loss: [10.61965735 14.91261496 11.26983888], train_hist_grp_loss: [0.17243466 0.18436246 0.45663202], cur_train_grp_loss: [0.17243466 0.18436246 0.45663202], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6809, max_kl_dist_index: 2, max_train_grp_loss:  15.8974, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9126, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.4566, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:12,551 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  13.4334, val_loss:  12.2620, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3479, 0.6808, param: [4.15031712 9.52383848 4.9560263  8.85828784], weights: [0.33125266 0.33179014 0.3369572 ], train_wt_loss:  40.3003, val_wt_loss: 36.7860, train_grp_loss: [11.73512841 15.89665962 11.15319952], val_grp_loss: [10.62018831 14.91160383 11.27011687], train_hist_grp_loss: [0.26706715 0.30759823 0.69392936], cur_train_grp_loss: [0.09463249 0.12323577 0.23729733], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8967, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9116, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:13,703 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  13.4334, val_loss:  12.2620, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3479, 0.6808, param: [4.15039712 9.52268532 4.95665522 8.85864618], weights: [0.33048988 0.33140492 0.3381052 ], train_wt_loss:  40.3003, val_wt_loss: 36.7859, train_grp_loss: [11.73581995 15.89591423 11.1534209 ], val_grp_loss: [10.62071211 14.91060677 11.27039222], train_hist_grp_loss: [0.36170528 0.43082815 0.93123148], cur_train_grp_loss: [0.09463813 0.12322992 0.23730212], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8959, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9106, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:14,818 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  13.4334, val_loss:  12.2619, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6808, param: [4.1504734  9.52154016 4.95728144 8.85901297], weights: [0.32972689 0.33101803 0.33925508], train_wt_loss:  40.3003, val_wt_loss: 36.7857, train_grp_loss: [11.73650339 15.89517827 11.15363883], val_grp_loss: [10.62122874 14.90962378 11.27066493], train_hist_grp_loss: [0.45634899 0.55405229 1.1685383 ], cur_train_grp_loss: [0.09464371 0.12322414 0.23730683], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8952, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9096, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:15,931 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.15054596 9.52040299 4.95790495 8.85938824], weights: [0.3289637  0.33062947 0.34040683], train_wt_loss:  40.3003, val_wt_loss: 36.7855, train_grp_loss: [11.73717871 15.89445177 11.15385329], val_grp_loss: [10.62173819 14.9086549  11.27093498], train_hist_grp_loss: [0.55099821 0.67727073 1.40584977], cur_train_grp_loss: [0.09464922 0.12321844 0.23731146], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8945, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9087, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:17,000 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.15061481 9.51927384 4.95852574 8.85977201], weights: [0.32820032 0.33023924 0.34156044], train_wt_loss:  40.3003, val_wt_loss: 36.7853, train_grp_loss: [11.73784589 15.89373471 11.15406428], val_grp_loss: [10.62224043 14.90770013 11.27120238], train_hist_grp_loss: [0.64565288 0.80048353 1.6431658 ], cur_train_grp_loss: [0.09465467 0.1232128  0.23731603], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8937, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9077, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:18,079 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3477, 0.6807, param: [4.15067992 9.5181527  4.95914381 8.86016429], weights: [0.32743674 0.32984736 0.3427159 ], train_wt_loss:  40.3003, val_wt_loss: 36.7851, train_grp_loss: [11.73850492 15.89302713 11.15427178], val_grp_loss: [10.62273546 14.9067595  11.27146711], train_hist_grp_loss: [0.74031293 0.92369078 1.88048631], cur_train_grp_loss: [0.09466005 0.12320725 0.23732052], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8930, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9068, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:19,152 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3477, 0.6806, param: [4.15074131 9.51703958 4.95975914 8.8605651 ], weights: [0.32667299 0.32945382 0.34387319], train_wt_loss:  40.3003, val_wt_loss: 36.7850, train_grp_loss: [11.73915578 15.89232902 11.1544758 ], val_grp_loss: [10.62322327 14.90583302 11.27172917], train_hist_grp_loss: [0.83497829 1.04689254 2.11781124], cur_train_grp_loss: [0.09466536 0.12320176 0.23732493], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8923, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9058, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:20,190 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  13.4334, val_loss:  12.2616, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3477, 0.6806, param: [4.15079896 9.51593449 4.96037175 8.86097445], weights: [0.32590906 0.32905864 0.3450323 ], train_wt_loss:  40.3003, val_wt_loss: 36.7848, train_grp_loss: [11.73979844 15.8916404  11.15467631], val_grp_loss: [10.62370383 14.90492071 11.27198855], train_hist_grp_loss: [0.9296489  1.17008889 2.35514052], cur_train_grp_loss: [0.09467061 0.12319635 0.23732927], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8916, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9049, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:21,212 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  13.4334, val_loss:  12.2615, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3477, 0.6806, param: [4.15085288 9.51483744 4.96098161 8.86139237], weights: [0.32514496 0.32866182 0.34619323], train_wt_loss:  40.3003, val_wt_loss: 36.7846, train_grp_loss: [11.7404329  15.89096128 11.15487332], val_grp_loss: [10.62417714 14.9040226  11.27224523], train_hist_grp_loss: [1.0243247  1.2932799  2.59247405], cur_train_grp_loss: [0.09467579 0.12319101 0.23733354], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8910, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9040, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:03:22,222 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  13.4334, val_loss:  12.2615, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3476, 0.6805, param: [4.15090306 9.51374843 4.96158872 8.86181886], weights: [0.32438069 0.32826336 0.34735595], train_wt_loss:  40.3003, val_wt_loss: 36.7845, train_grp_loss: [11.74105914 15.89029167 11.1550668 ], val_grp_loss: [10.62464318 14.90313869 11.27249922], train_hist_grp_loss: [1.11900561 1.41646565 2.82981178], cur_train_grp_loss: [0.09468091 0.12318575 0.23733773], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6805, max_kl_dist_index: 2, max_train_grp_loss:  15.8903, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9031, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
