2024-10-07 01:06:45,661 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.1,0.1,0.04,2023
2024-10-07 01:06:45,663 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 01:06:45,663 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 01:06:45,754 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 01:06:45,754 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 01:06:45,755 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 01:06:45,973 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 01:06:46,203 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 01:06:47,435 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6261, val_loss:  12.2166, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6777, param: [ 4.89950164  6.9788959   5.67511288 10.23466789], weights: [0.3322965  0.33244357 0.33525993], train_wt_loss:  37.8784, val_wt_loss: 36.6497, train_grp_loss: [11.44673755 13.75198256 13.00542884], val_grp_loss: [12.59492607 12.82818821 11.2247546 ], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6777, max_kl_dist_index: 2, max_train_grp_loss:  13.7520, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8282, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:48,520 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.6261, val_loss:  12.2167, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6776, param: [ 4.89929671  6.97713763  5.67628934 10.23433124], weights: [0.33143064 0.33194242 0.33662694], train_wt_loss:  37.8784, val_wt_loss: 36.6501, train_grp_loss: [11.44786213 13.75069881 13.00555906], val_grp_loss: [12.59605193 12.82693902 11.22530838], train_hist_grp_loss: [0.22230373 0.26087741 0.61122261], cur_train_grp_loss: [0.08805183 0.11556288 0.25500841], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6776, max_kl_dist_index: 2, max_train_grp_loss:  13.7507, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8269, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:49,640 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.6261, val_loss:  12.2169, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6775, param: [ 4.89908586  6.97538445  5.67746375 10.23401256], weights: [0.33056432 0.33143902 0.33799666], train_wt_loss:  37.8784, val_wt_loss: 36.6506, train_grp_loss: [11.44897605 13.74942905 13.00568619], val_grp_loss: [12.59716809 12.82570661 11.22585761], train_hist_grp_loss: [0.31036421 0.3764295  0.86623357], cur_train_grp_loss: [0.08806048 0.11555209 0.25501096], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7494, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8257, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:50,715 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.6261, val_loss:  12.2170, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6774, param: [ 4.89886909  6.97363637  5.67863609 10.23371191], weights: [0.32969753 0.3309334  0.33936907], train_wt_loss:  37.8784, val_wt_loss: 36.6510, train_grp_loss: [11.45007929 13.74817332 13.0058102 ], val_grp_loss: [12.59827452 12.82449103 11.22640227], train_hist_grp_loss: [0.39843325 0.49197092 1.12124702], cur_train_grp_loss: [0.08806905 0.11554142 0.25501345], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7482, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8245, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:51,831 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.6261, val_loss:  12.2171, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6774, param: [ 4.89864638  6.97189339  5.67980638 10.23342933], weights: [0.32883029 0.33042557 0.34074414], train_wt_loss:  37.8784, val_wt_loss: 36.6514, train_grp_loss: [11.45117181 13.74693165 13.00593109], val_grp_loss: [12.59937117 12.82329231 11.22694234], train_hist_grp_loss: [0.48651079 0.60750179 1.37626291], cur_train_grp_loss: [0.08807753 0.11553087 0.25501589], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7469, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8233, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:52,907 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.6261, val_loss:  12.2173, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3237, 0.6773, param: [ 4.8984177   6.97015551  5.68097459 10.2331649 ], weights: [0.32796261 0.32991553 0.34212186], train_wt_loss:  37.8784, val_wt_loss: 36.6519, train_grp_loss: [11.45225358 13.74570405 13.00604884], val_grp_loss: [12.60045803 12.8221105  11.2274778 ], train_hist_grp_loss: [0.57459672 0.72302222 1.63128116], cur_train_grp_loss: [0.08808594 0.11552043 0.25501826], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6773, max_kl_dist_index: 2, max_train_grp_loss:  13.7457, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8221, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:53,974 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.6261, val_loss:  12.2174, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6772, param: [ 4.89818306  6.96842272  5.68214073 10.23291867], weights: [0.3270945  0.32940328 0.34350221], train_wt_loss:  37.8784, val_wt_loss: 36.6523, train_grp_loss: [11.45332456 13.74449056 13.00616344], val_grp_loss: [12.60153505 12.82094563 11.22800863], train_hist_grp_loss: [0.66269098 0.83853234 1.88630173], cur_train_grp_loss: [0.08809426 0.11551012 0.25502057], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6772, max_kl_dist_index: 2, max_train_grp_loss:  13.7445, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8209, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:55,033 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.6261, val_loss:  12.2176, grad_norm: 0.0005, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6771, param: [ 4.89794244  6.96669501  5.6833048  10.2326907 ], weights: [0.32622597 0.32888885 0.34488518], train_wt_loss:  37.8784, val_wt_loss: 36.6527, train_grp_loss: [11.45438471 13.74329121 13.00627488], val_grp_loss: [12.60260221 12.81979774 11.22853482], train_hist_grp_loss: [0.75079348 0.95403226 2.14132454], cur_train_grp_loss: [0.0881025  0.11549992 0.25502281], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6771, max_kl_dist_index: 2, max_train_grp_loss:  13.7433, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8198, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:56,090 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.6261, val_loss:  12.2177, grad_norm: 0.0006, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6765, 0.3237, 0.6771, param: [ 4.89769582  6.9649724   5.68446677 10.23248105], weights: [0.32535703 0.32837224 0.34627073], train_wt_loss:  37.8784, val_wt_loss: 36.6532, train_grp_loss: [11.45543402 13.74210602 13.00638315], val_grp_loss: [12.60365948 12.81866688 11.22905634], train_hist_grp_loss: [0.83890413 1.0695221  2.39634954], cur_train_grp_loss: [0.08811065 0.11548984 0.255025  ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6771, max_kl_dist_index: 2, max_train_grp_loss:  13.7421, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8187, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:57,114 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.6261, val_loss:  12.2179, grad_norm: 0.0007, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6765, 0.3237, 0.6770, param: [ 4.89744319  6.96325486  5.68562666 10.23228979], weights: [0.32448768 0.32785346 0.34765886], train_wt_loss:  37.8784, val_wt_loss: 36.6536, train_grp_loss: [11.45647243 13.74093503 13.00648822], val_grp_loss: [12.60470681 12.81755307 11.22957317], train_hist_grp_loss: [0.92702285 1.18500199 2.65137666], cur_train_grp_loss: [0.08811872 0.11547988 0.25502712], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6770, max_kl_dist_index: 2, max_train_grp_loss:  13.7409, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8176, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:06:58,119 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.6261, val_loss:  12.2180, grad_norm: 0.0007, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6765, 0.3236, 0.6769, param: [ 4.89718453  6.96154241  5.68678446 10.23211697], weights: [0.32361794 0.32733252 0.34904954], train_wt_loss:  37.8784, val_wt_loss: 36.6541, train_grp_loss: [11.45749992 13.73977826 13.0065901 ], val_grp_loss: [12.60574419 12.81645636 11.2300853 ], train_hist_grp_loss: [1.01514956 1.30047203 2.90640584], cur_train_grp_loss: [0.08812671 0.11547004 0.25502918], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6769, max_kl_dist_index: 2, max_train_grp_loss:  13.7398, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8165, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
