2024-10-07 01:28:18,185 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.2,0.1,0.02,2023
2024-10-07 01:28:18,187 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 01:28:18,187 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 01:28:18,279 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 01:28:18,280 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 01:28:18,281 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 01:28:18,498 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 01:28:18,730 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 01:28:19,976 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6261, val_loss:  12.2165, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6776, param: [ 4.90005407  6.97920771  5.67480389 10.23346092], weights: [0.33281521 0.33288885 0.33429594], train_wt_loss:  37.8784, val_wt_loss: 36.6494, train_grp_loss: [11.44713637 13.75145527 13.00564157], val_grp_loss: [12.59526077 12.82743756 11.2249144 ], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6776, max_kl_dist_index: 2, max_train_grp_loss:  13.7515, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8274, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:21,015 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.6261, val_loss:  12.2166, grad_norm: 0.0000, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6776, param: [ 4.89995395  6.97832755  5.6753924  10.2332857 ], weights: [0.33238268 0.33263915 0.33497817], train_wt_loss:  37.8784, val_wt_loss: 36.6497, train_grp_loss: [11.44770236 13.75080868 13.00570789], val_grp_loss: [12.59582705 12.82680713 11.22519291], train_hist_grp_loss: [0.2223068  0.26087298 0.61122678], cur_train_grp_loss: [0.0880549  0.11555845 0.25501258], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6776, max_kl_dist_index: 2, max_train_grp_loss:  13.7508, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8268, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:22,058 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.6261, val_loss:  12.2166, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6775, param: [ 4.89985236  6.97744867  5.67598039 10.23311494], weights: [0.33195003 0.33238889 0.33566107], train_wt_loss:  37.8784, val_wt_loss: 36.6499, train_grp_loss: [11.4482657  13.75016559 13.00577343], val_grp_loss: [12.59639091 12.82618088 11.22547028], train_hist_grp_loss: [0.31036604 0.37642599 0.86624066], cur_train_grp_loss: [0.08805925 0.11555301 0.25501388], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7502, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8262, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:23,137 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.6261, val_loss:  12.2167, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6775, param: [ 4.8997493   6.97657106  5.67656788 10.23294867], weights: [0.33151726 0.33213807 0.33634466], train_wt_loss:  37.8784, val_wt_loss: 36.6501, train_grp_loss: [11.44882638 13.74952599 13.00583821], val_grp_loss: [12.59695235 12.82555882 11.22574653], train_hist_grp_loss: [0.39842963 0.4919736  1.12125582], cur_train_grp_loss: [0.08806358 0.11554761 0.25501517], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7495, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8256, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:24,251 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.6261, val_loss:  12.2168, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6775, param: [ 4.89964476  6.97569472  5.67715485 10.23278688], weights: [0.33108438 0.3318867  0.33702893], train_wt_loss:  37.8784, val_wt_loss: 36.6503, train_grp_loss: [11.4493844  13.74888988 13.00590221], val_grp_loss: [12.59751137 12.82494095 11.22602163], train_hist_grp_loss: [0.48649752 0.60751584 1.37627226], cur_train_grp_loss: [0.0880679  0.11554224 0.25501644], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7489, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8249, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:25,335 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.6261, val_loss:  12.2168, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6774, param: [ 4.89953874  6.97481966  5.67774131 10.23262958], weights: [0.33065138 0.33163476 0.33771386], train_wt_loss:  37.8784, val_wt_loss: 36.6505, train_grp_loss: [11.44993975 13.74825727 13.00596543], val_grp_loss: [12.59806796 12.82432728 11.2262956 ], train_hist_grp_loss: [0.57456971 0.72305273 1.63128995], cur_train_grp_loss: [0.08807219 0.11553689 0.25501769], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7483, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8243, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:26,415 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.6261, val_loss:  12.2169, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3237, 0.6774, param: [ 4.89943124  6.97394587  5.67832726 10.23247678], weights: [0.33021826 0.33138227 0.33839948], train_wt_loss:  37.8784, val_wt_loss: 36.6507, train_grp_loss: [11.45049243 13.74762816 13.00602788], val_grp_loss: [12.59862212 12.82371781 11.22656842], train_hist_grp_loss: [0.66264617 0.8385843  1.88630888], cur_train_grp_loss: [0.08807646 0.11553157 0.25501893], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7476, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8237, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:27,479 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.6261, val_loss:  12.2170, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3237, 0.6773, param: [ 4.89932226  6.97307336  5.6789127  10.2323285 ], weights: [0.32978503 0.33112922 0.33908576], train_wt_loss:  37.8784, val_wt_loss: 36.6509, train_grp_loss: [11.45104244 13.74700256 13.00608955], val_grp_loss: [12.59917384 12.82311254 11.2268401 ], train_hist_grp_loss: [0.75072688 0.95411059 2.14132903], cur_train_grp_loss: [0.08808071 0.11552629 0.25502015], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6773, max_kl_dist_index: 2, max_train_grp_loss:  13.7470, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8231, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:28,535 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.6261, val_loss:  12.2171, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6773, param: [ 4.89921179  6.97220212  5.67949762 10.23218472], weights: [0.32935168 0.33087561 0.33977271], train_wt_loss:  37.8784, val_wt_loss: 36.6512, train_grp_loss: [11.45158978 13.74638046 13.00615044], val_grp_loss: [12.59972312 12.82251149 11.22711063], train_hist_grp_loss: [0.83881182 1.06963162 2.3963504 ], cur_train_grp_loss: [0.08808494 0.11552103 0.25502136], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6773, max_kl_dist_index: 2, max_train_grp_loss:  13.7464, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8225, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:29,536 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.6261, val_loss:  12.2171, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6773, param: [ 4.89909984  6.97133215  5.68008202 10.23204548], weights: [0.32891822 0.33062146 0.34046032], train_wt_loss:  37.8784, val_wt_loss: 36.6514, train_grp_loss: [11.45213443 13.74576188 13.00621055], val_grp_loss: [12.60026996 12.82191465 11.22738001], train_hist_grp_loss: [0.92690097 1.18514742 2.65137295], cur_train_grp_loss: [0.08808915 0.1155158  0.25502256], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6773, max_kl_dist_index: 2, max_train_grp_loss:  13.7458, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8219, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:28:30,553 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.6261, val_loss:  12.2172, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6772, param: [ 4.8989864   6.97046346  5.68066591 10.23191076], weights: [0.32848465 0.33036675 0.3411486 ], train_wt_loss:  37.8784, val_wt_loss: 36.6516, train_grp_loss: [11.45267639 13.74514681 13.00626987], val_grp_loss: [12.60081435 12.82132203 11.22764824], train_hist_grp_loss: [1.01499432 1.30065802 2.90639669], cur_train_grp_loss: [0.08809334 0.1155106  0.25502374], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6772, max_kl_dist_index: 2, max_train_grp_loss:  13.7451, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8213, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
