2024-10-07 01:35:31,777 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.2,0.1,0.03,2022
2024-10-07 01:35:31,779 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2022
2024-10-07 01:35:31,779 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 01:35:31,871 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.3214, l2 distance: 25.6155, acc: 0.89.
2024-10-07 01:35:31,872 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 01:35:31,873 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 4.91492317 13.51244723  6.71533233  9.49961375]
2024-10-07 01:35:32,094 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8530, 6.9304, 3.3326
2024-10-07 01:35:32,328 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 01:35:33,609 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  13.4334, val_loss:  12.2620, grad_norm: 0.5704, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3479, 0.6808, param: [4.15053021 9.5246301  4.95544154 8.85723397], weights: [0.33234513 0.33246408 0.33519079], train_wt_loss:  40.3003, val_wt_loss: 36.7860, train_grp_loss: [11.73490857 15.89686997 11.15320157], val_grp_loss: [10.62009669 14.91176746 11.2699811 ], train_hist_grp_loss: [0.17243466 0.18436246 0.45663202], cur_train_grp_loss: [0.17243466 0.18436246 0.45663202], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8969, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9118, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.4566, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:34,676 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  13.4334, val_loss:  12.2619, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3479, 0.6808, param: [4.15059431 9.5237568  4.95591604 8.85749304], weights: [0.33177348 0.33217706 0.33604946], train_wt_loss:  40.3003, val_wt_loss: 36.7858, train_grp_loss: [11.73543613 15.89630073 11.15337147], val_grp_loss: [10.62049744 14.91100435 11.27019054], train_hist_grp_loss: [0.26707102 0.30759401 0.69393419], cur_train_grp_loss: [0.09463636 0.12323155 0.23730216], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8963, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9110, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:35,765 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  13.4334, val_loss:  12.2619, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.15065634 9.52288799 4.95638902 8.85775685], weights: [0.33120171 0.3318891  0.33690919], train_wt_loss:  40.3003, val_wt_loss: 36.7857, train_grp_loss: [11.73595915 15.8957368  11.15353944], val_grp_loss: [10.62089416 14.91024915 11.27039851], train_hist_grp_loss: [0.36171163 0.43082115 0.93123996], cur_train_grp_loss: [0.09464061 0.12322714 0.23730578], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8957, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9102, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:36,853 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.15071627 9.52202366 4.95686049 8.85802541], weights: [0.33062982 0.33160019 0.33776999], train_wt_loss:  40.3003, val_wt_loss: 36.7855, train_grp_loss: [11.73647762 15.89517816 11.15370546], val_grp_loss: [10.62128686 14.90950185 11.27060499], train_hist_grp_loss: [0.45635647 0.55404391 1.16854931], cur_train_grp_loss: [0.09464483 0.12322277 0.23730935], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8952, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9095, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:37,995 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.15077412 9.52116383 4.95733044 8.85829872], weights: [0.33005781 0.33131034 0.33863185], train_wt_loss:  40.3003, val_wt_loss: 36.7854, train_grp_loss: [11.73699154 15.89462482 11.15386954], val_grp_loss: [10.62167553 14.90876246 11.27080998], train_hist_grp_loss: [0.55100548 0.67726235 1.40586219], cur_train_grp_loss: [0.09464901 0.12321844 0.23731288], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8946, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9088, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:39,101 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6506, 0.3478, 0.6807, param: [4.15082987 9.52030849 4.95779887 8.85857681], weights: [0.32948569 0.33101955 0.33949476], train_wt_loss:  40.3003, val_wt_loss: 36.7853, train_grp_loss: [11.73750089 15.8940768  11.15403167], val_grp_loss: [10.62206016 14.908031   11.27101348], train_hist_grp_loss: [0.64565864 0.8004765  1.64317857], cur_train_grp_loss: [0.09465316 0.12321415 0.23731637], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8941, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9080, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:40,173 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15088354 9.51945765 4.95826577 8.85885966], weights: [0.32891345 0.33072783 0.34035872], train_wt_loss:  40.3003, val_wt_loss: 36.7851, train_grp_loss: [11.73800566 15.89353408 11.15419185], val_grp_loss: [10.62244075 14.90730747 11.27121549], train_hist_grp_loss: [0.7403159  0.92368639 1.88049839], cur_train_grp_loss: [0.09465727 0.1232099  0.23731982], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8935, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9073, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:41,203 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15093511 9.51861132 4.95873115 8.85914729], weights: [0.32834111 0.33043517 0.34122373], train_wt_loss:  40.3003, val_wt_loss: 36.7850, train_grp_loss: [11.73850586 15.89299668 11.15435008], val_grp_loss: [10.62281728 14.90659187 11.271416  ], train_hist_grp_loss: [0.83497724 1.04689208 2.11782162], cur_train_grp_loss: [0.09466134 0.12320569 0.23732323], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8930, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9066, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:42,247 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  13.4334, val_loss:  12.2616, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15098459 9.51776949 4.95919499 8.85943971], weights: [0.32776865 0.33014157 0.34208978], train_wt_loss:  40.3003, val_wt_loss: 36.7849, train_grp_loss: [11.73900148 15.8924646  11.15450634], val_grp_loss: [10.62318976 14.90588423 11.27161501], train_hist_grp_loss: [0.92964261 1.17009361 2.35514822], cur_train_grp_loss: [0.09466537 0.12320152 0.2373266 ], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8925, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9059, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:43,305 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  13.4334, val_loss:  12.2616, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6806, param: [4.15103198 9.51693218 4.95965731 8.85973692], weights: [0.3271961  0.32984705 0.34295686], train_wt_loss:  40.3003, val_wt_loss: 36.7847, train_grp_loss: [11.7394925  15.89193785 11.15466065], val_grp_loss: [10.62355817 14.90518453 11.27181252], train_hist_grp_loss: [1.02431198 1.29329101 2.59247814], cur_train_grp_loss: [0.09466937 0.1231974  0.23732992], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6806, max_kl_dist_index: 2, max_train_grp_loss:  15.8919, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9052, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:44,345 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  13.4334, val_loss:  12.2615, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3477, 0.6805, param: [4.15107726 9.51609938 4.96011808 8.86003893], weights: [0.32662344 0.32955159 0.34382497], train_wt_loss:  40.3003, val_wt_loss: 36.7846, train_grp_loss: [11.73997892 15.89141643 11.15481299], val_grp_loss: [10.62392252 14.9044928  11.27200853], train_hist_grp_loss: [1.1189853  1.41648432 2.82981134], cur_train_grp_loss: [0.09467333 0.12319332 0.23733321], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6805, max_kl_dist_index: 2, max_train_grp_loss:  15.8914, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9045, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:45,358 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  11, train_loss:  13.4334, val_loss:  12.2615, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3476, 0.6805, param: [4.15112045 9.51527109 4.96057732 8.86034575], weights: [0.32605068 0.32925521 0.34469411], train_wt_loss:  40.3003, val_wt_loss: 36.7845, train_grp_loss: [11.74046074 15.89090035 11.15496336], val_grp_loss: [10.6242828  14.90380904 11.27220302], train_hist_grp_loss: [1.21366255 1.5396736  3.06714779], cur_train_grp_loss: [0.09467725 0.12318927 0.23733645], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6805, max_kl_dist_index: 2, max_train_grp_loss:  15.8909, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9038, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:35:46,395 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  12, train_loss:  13.4334, val_loss:  12.2614, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6505, 0.3476, 0.6805, param: [4.15116154 9.51444732 4.96103502 8.86065738], weights: [0.32547783 0.3289579  0.34556427], train_wt_loss:  40.3003, val_wt_loss: 36.7843, train_grp_loss: [11.74093794 15.8903896  11.15511175], val_grp_loss: [10.62463899 14.90313325 11.272396  ], train_hist_grp_loss: [1.30834369 1.66285887 3.30448744], cur_train_grp_loss: [0.09468113 0.12318527 0.23733965], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6805, max_kl_dist_index: 2, max_train_grp_loss:  15.8904, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9031, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
