2024-10-07 01:39:12,886 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_00_27_03/rdpo,0.2,0.1,0.03,2023
2024-10-07 01:39:12,888 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 01:39:12,888 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 01:39:12,979 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 01:39:12,980 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 01:39:12,981 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 01:39:13,196 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 01:39:13,426 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 01:39:14,692 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6261, val_loss:  12.2165, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6776, param: [ 4.89977817  6.97905177  5.6749584  10.23406352], weights: [0.33255593 0.33266631 0.33477776], train_wt_loss:  37.8784, val_wt_loss: 36.6496, train_grp_loss: [11.4469374  13.75171834 13.00553536], val_grp_loss: [12.59509381 12.82781215 11.22483468], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6776, max_kl_dist_index: 2, max_train_grp_loss:  13.7517, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8278, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:15,795 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.6261, val_loss:  12.2166, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6776, param: [ 4.89962624  6.9777323   5.67584095 10.23380585], weights: [0.33190683 0.3322911  0.33580206], train_wt_loss:  37.8784, val_wt_loss: 36.6499, train_grp_loss: [11.44778361 13.75075199 13.00563393], val_grp_loss: [12.59594072 12.82687088 11.22525123], train_hist_grp_loss: [0.22230527 0.26087519 0.61122469], cur_train_grp_loss: [0.08805336 0.11556066 0.2550105 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6776, max_kl_dist_index: 2, max_train_grp_loss:  13.7508, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8269, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:16,873 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.6261, val_loss:  12.2167, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6775, param: [ 4.89947098  6.9764157   5.67672236 10.23355827], weights: [0.33125747 0.33191464 0.33682789], train_wt_loss:  37.8784, val_wt_loss: 36.6502, train_grp_loss: [11.44862384 13.7497935  13.00573076], val_grp_loss: [12.59678219 12.82593903 11.22566523], train_hist_grp_loss: [0.31036514 0.37642773 0.86623712], cur_train_grp_loss: [0.08805987 0.11555254 0.25501243], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7498, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8259, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:17,947 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.6261, val_loss:  12.2168, grad_norm: 0.0001, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6775, param: [ 4.8993124   6.97510196  5.6776026  10.23332079], weights: [0.33060785 0.33153691 0.33785524], train_wt_loss:  37.8784, val_wt_loss: 36.6505, train_grp_loss: [11.44945807 13.74884289 13.00582585], val_grp_loss: [12.59761819 12.82501662 11.22607666], train_hist_grp_loss: [0.39843148 0.49197221 1.12125145], cur_train_grp_loss: [0.08806634 0.11554448 0.25501433], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7488, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8250, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:19,068 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.6261, val_loss:  12.2170, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6774, param: [ 4.89915049  6.97379109  5.67848169 10.23309345], weights: [0.32995796 0.33115793 0.3388841 ], train_wt_loss:  37.8784, val_wt_loss: 36.6509, train_grp_loss: [11.4502863  13.74790016 13.00591919], val_grp_loss: [12.59844872 12.82410368 11.22648553], train_hist_grp_loss: [0.48650423 0.6075087  1.37626765], cur_train_grp_loss: [0.08807275 0.11553649 0.25501619], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6774, max_kl_dist_index: 2, max_train_grp_loss:  13.7479, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8241, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:20,156 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.6261, val_loss:  12.2171, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3237, 0.6773, param: [ 4.89898523  6.97248309  5.67935963 10.23287626], weights: [0.32930783 0.33077771 0.33991447], train_wt_loss:  37.8784, val_wt_loss: 36.6512, train_grp_loss: [11.45110851 13.74696532 13.00601078], val_grp_loss: [12.59927376 12.8232002  11.22689181], train_hist_grp_loss: [0.57458336 0.72303728 1.63128567], cur_train_grp_loss: [0.08807913 0.11552857 0.25501802], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6773, max_kl_dist_index: 2, max_train_grp_loss:  13.7470, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8232, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:21,234 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.6261, val_loss:  12.2172, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6773, param: [ 4.89881664  6.97117795  5.6802364  10.23266926], weights: [0.32865743 0.33039624 0.34094633], train_wt_loss:  37.8784, val_wt_loss: 36.6515, train_grp_loss: [11.45192468 13.74603839 13.00610061], val_grp_loss: [12.6000933  12.82230622 11.22729551], train_hist_grp_loss: [0.66266881 0.83855799 1.88630549], cur_train_grp_loss: [0.08808545 0.11552072 0.25501982], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6773, max_kl_dist_index: 2, max_train_grp_loss:  13.7460, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8223, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:22,258 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.6261, val_loss:  12.2173, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6772, param: [ 4.89864469  6.96987568  5.68111201 10.23247246], weights: [0.3280068  0.33001352 0.34197968], train_wt_loss:  37.8784, val_wt_loss: 36.6518, train_grp_loss: [11.4527348  13.74511938 13.00618867], val_grp_loss: [12.60090732 12.82142175 11.22769662], train_hist_grp_loss: [0.75076053 0.95407092 2.14132707], cur_train_grp_loss: [0.08809173 0.11551293 0.25502158], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6772, max_kl_dist_index: 2, max_train_grp_loss:  13.7451, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8214, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:23,317 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.6261, val_loss:  12.2174, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6772, param: [ 4.89846938  6.96857627  5.68198645 10.2322859 ], weights: [0.32735591 0.32962958 0.34301451], train_wt_loss:  37.8784, val_wt_loss: 36.6522, train_grp_loss: [11.45353885 13.7442083  13.00627496], val_grp_loss: [12.60171582 12.8205468  11.22809512], train_hist_grp_loss: [0.83885849 1.06957613 2.39635038], cur_train_grp_loss: [0.08809796 0.1155052  0.25502331], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6772, max_kl_dist_index: 2, max_train_grp_loss:  13.7442, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8205, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:24,322 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.6261, val_loss:  12.2175, grad_norm: 0.0005, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6771, param: [ 4.89829072  6.96727972  5.68285973 10.23210959], weights: [0.32670479 0.32924439 0.34405082], train_wt_loss:  37.8784, val_wt_loss: 36.6525, train_grp_loss: [11.45433682 13.74330517 13.00635947], val_grp_loss: [12.60251877 12.81968139 11.22849101], train_hist_grp_loss: [0.92696264 1.18507368 2.65137538], cur_train_grp_loss: [0.08810414 0.11549755 0.255025  ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6771, max_kl_dist_index: 2, max_train_grp_loss:  13.7433, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8197, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 01:39:25,336 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.6261, val_loss:  12.2176, grad_norm: 0.0006, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6765, 0.3237, 0.6771, param: [ 4.89810868  6.96598603  5.68373184 10.23194358], weights: [0.32605343 0.32885798 0.34508858], train_wt_loss:  37.8784, val_wt_loss: 36.6528, train_grp_loss: [11.4551287  13.74240998 13.0064422 ], val_grp_loss: [12.60331617 12.81882554 11.22888428], train_hist_grp_loss: [1.01507292 1.30056364 2.90640203], cur_train_grp_loss: [0.08811028 0.11548996 0.25502666], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6771, max_kl_dist_index: 2, max_train_grp_loss:  13.7424, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8188, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
