2024-10-07 17:10:06,094 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.1,0.1,0.1,2021
2024-10-07 17:10:06,095 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2021
2024-10-07 17:10:06,096 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:10:06,187 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2351, l2 distance: 36.4442, acc: 0.90.
2024-10-07 17:10:06,188 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:10:06,189 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 9.05939251 17.1373287   9.50347978 12.39752865]
2024-10-07 17:10:06,400 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8285, 7.1348, 3.2752
2024-10-07 17:10:06,629 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:10:07,838 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.1558, val_loss:  12.4222, grad_norm: 0.4595, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6575, 0.3055, 0.6508, param: [5.44160773 8.30422321 5.14586335 8.58351783], weights: [0.33110125 0.33071804 0.33818071], train_wt_loss:  36.4675, val_wt_loss: 37.2666, train_grp_loss: [11.8000696  13.08156758 10.73086642], val_grp_loss: [12.66253707 12.45937553 12.14399798], train_hist_grp_loss: [0.15100158 0.13942111 0.36256349], cur_train_grp_loss: [0.15100158 0.13942111 0.36256349], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6575, max_kl_dist_index: 0, max_train_grp_loss:  13.0816, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6625, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.3626, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:08,873 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.1558, val_loss:  12.4225, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6578, 0.3057, 0.6511, param: [5.44219962 8.30249722 5.14846895 8.58730321], weights: [0.32964118 0.32959739 0.34076143], train_wt_loss:  36.4675, val_wt_loss: 37.2675, train_grp_loss: [11.80079706 13.08120199 10.72998541], val_grp_loss: [12.66370468 12.45898669 12.14409227], train_hist_grp_loss: [0.24540213 0.24407365 0.57718082], cur_train_grp_loss: [0.09440056 0.10465254 0.21461733], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6578, max_kl_dist_index: 0, max_train_grp_loss:  13.0812, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6637, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:09,917 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.1558, val_loss:  12.4228, grad_norm: 0.0005, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6580, 0.3058, 0.6513, param: [5.4427849  8.30078509 5.1510858  8.59114435], weights: [0.32817809 0.32847078 0.34335113], train_wt_loss:  36.4675, val_wt_loss: 37.2684, train_grp_loss: [11.80150362 13.08086666 10.72909332], val_grp_loss: [12.66485507 12.45863226 12.14417855], train_hist_grp_loss: [0.33980851 0.34872326 0.79178052], cur_train_grp_loss: [0.09440638 0.10464962 0.21459971], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6580, max_kl_dist_index: 0, max_train_grp_loss:  13.0809, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6649, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:11,006 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.1558, val_loss:  12.4231, grad_norm: 0.0007, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6583, 0.3060, 0.6515, param: [5.44336354 8.29908672 5.15371402 8.5950415 ], weights: [0.32671204 0.32733828 0.34594969], train_wt_loss:  36.4675, val_wt_loss: 37.2693, train_grp_loss: [11.8021893  13.08056167 10.72819013], val_grp_loss: [12.66598825 12.45831235 12.14425683], train_hist_grp_loss: [0.43422054 0.4533702  1.00636239], cur_train_grp_loss: [0.09441203 0.10464693 0.21458187], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6583, max_kl_dist_index: 0, max_train_grp_loss:  13.0806, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6660, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:12,174 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.1559, val_loss:  12.4234, grad_norm: 0.0009, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6586, 0.3061, 0.6518, param: [5.44393548 8.29740202 5.15635371 8.5989949 ], weights: [0.32524309 0.32619995 0.34855697], train_wt_loss:  36.4676, val_wt_loss: 37.2702, train_grp_loss: [11.80285411 13.08028712 10.72727582], val_grp_loss: [12.66710424 12.45802706 12.14432715], train_hist_grp_loss: [0.52863805 0.55801469 1.22092619], cur_train_grp_loss: [0.09441751 0.10464449 0.2145638 ], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6586, max_kl_dist_index: 0, max_train_grp_loss:  13.0803, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6671, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2146, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:13,271 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.1559, val_loss:  12.4237, grad_norm: 0.0011, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6589, 0.3063, 0.6520, param: [5.4445007  8.29573093 5.15900494 8.60300479], weights: [0.32377131 0.32505586 0.35117283], train_wt_loss:  36.4676, val_wt_loss: 37.2711, train_grp_loss: [11.80349807 13.0800431  10.72635038], val_grp_loss: [12.66820308 12.4577765  12.14438953], train_hist_grp_loss: [0.62306089 0.66265699 1.43547171], cur_train_grp_loss: [0.09442283 0.1046423  0.21454552], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6589, max_kl_dist_index: 0, max_train_grp_loss:  13.0800, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6682, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2145, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:14,336 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.1559, val_loss:  12.4240, grad_norm: 0.0013, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6592, 0.3064, 0.6523, param: [5.44505913 8.29407334 5.16166783 8.60707143], weights: [0.32229677 0.32390608 0.35379715], train_wt_loss:  36.4676, val_wt_loss: 37.2720, train_grp_loss: [11.80412122 13.07982971 10.72541379], val_grp_loss: [12.66928477 12.45756077 12.144444  ], train_hist_grp_loss: [0.71748887 0.76729733 1.64999872], cur_train_grp_loss: [0.09442798 0.10464034 0.21452701], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6592, max_kl_dist_index: 0, max_train_grp_loss:  13.0798, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6693, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2145, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:15,421 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.1559, val_loss:  12.4243, grad_norm: 0.0015, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6594, 0.3066, 0.6525, param: [5.44561074 8.29242917 5.16434247 8.61119504], weights: [0.32081953 0.32275069 0.35642978], train_wt_loss:  36.4677, val_wt_loss: 37.2730, train_grp_loss: [11.80472357 13.07964702 10.72446605], val_grp_loss: [12.67034936 12.45737998 12.1444906 ], train_hist_grp_loss: [0.81192184 0.87193597 1.86450699], cur_train_grp_loss: [0.09443297 0.10463864 0.21450828], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6594, max_kl_dist_index: 0, max_train_grp_loss:  13.0796, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6703, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2145, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:16,474 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.1559, val_loss:  12.4246, grad_norm: 0.0017, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6597, 0.3068, 0.6528, param: [5.44615549 8.29079834 5.16702895 8.61537587], weights: [0.31933966 0.32158975 0.35907058], train_wt_loss:  36.4678, val_wt_loss: 37.2739, train_grp_loss: [11.80530516 13.07949513 10.72350714], val_grp_loss: [12.67139685 12.45723422 12.14452935], train_hist_grp_loss: [0.90635963 0.97657315 2.07899631], cur_train_grp_loss: [0.09443779 0.10463718 0.21448932], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6597, max_kl_dist_index: 0, max_train_grp_loss:  13.0795, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6714, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2145, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:17,466 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.1559, val_loss:  12.4250, grad_norm: 0.0019, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6600, 0.3069, 0.6531, param: [5.44669333 8.28918075 5.16972737 8.61961416], weights: [0.31785724 0.32042334 0.36171941], train_wt_loss:  36.4678, val_wt_loss: 37.2749, train_grp_loss: [11.80586601 13.07937414 10.72253706], val_grp_loss: [12.6724273  12.45712361 12.14456029], train_hist_grp_loss: [1.00080207 1.08120911 2.29346646], cur_train_grp_loss: [0.09444244 0.10463596 0.21447014], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6600, max_kl_dist_index: 0, max_train_grp_loss:  13.0794, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6724, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2145, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:10:18,466 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.1560, val_loss:  12.4253, grad_norm: 0.0022, live_grad: 0.0000, reward_err: 0.0102, 0.0142, 0.0001, KL_dist: 0.6603, 0.3071, 0.6534, param: [5.44722421 8.2875763  5.17243782 8.62391013], weights: [0.31637234 0.31925154 0.36437612], train_wt_loss:  36.4679, val_wt_loss: 37.2758, train_grp_loss: [11.80640615 13.07928413 10.72155579], val_grp_loss: [12.67344071 12.45704825 12.14458345], train_hist_grp_loss: [1.095249  1.1858441 2.5079172], cur_train_grp_loss: [0.09444693 0.10463499 0.21445074], max_reward_err:  0.0142, max_reward_err_index: 1, max_kl_dist:  0.6603, max_kl_dist_index: 0, max_train_grp_loss:  13.0793, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6734, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2145, max_cur_train_grp_loss_index: 2, 
