2024-10-07 17:17:22,590 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.1,0.1,1,2022
2024-10-07 17:17:22,592 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2022
2024-10-07 17:17:22,592 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:17:22,681 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.3214, l2 distance: 25.6155, acc: 0.89.
2024-10-07 17:17:22,682 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:17:22,683 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 4.91492317 13.51244723  6.71533233  9.49961375]
2024-10-07 17:17:22,896 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8530, 6.9304, 3.3326
2024-10-07 17:17:23,120 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:17:24,371 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  13.4339, val_loss:  12.2721, grad_norm: 0.5704, live_grad: 0.0000, reward_err: 0.0031, 0.0319, 0.0015, KL_dist: 0.6559, 0.3522, 0.6882, param: [4.11786407 9.56583272 4.94852636 8.93320827], weights: [0.29933897 0.3029308  0.39773023], train_wt_loss:  40.3017, val_wt_loss: 36.8163, train_grp_loss: [11.681894   15.95789746 11.12859769], val_grp_loss: [10.57186309 15.00632368 11.25447452], train_hist_grp_loss: [0.17243466 0.18436246 0.45663202], cur_train_grp_loss: [0.17243466 0.18436246 0.45663202], max_reward_err:  0.0319, max_reward_err_index: 1, max_kl_dist:  0.6882, max_kl_dist_index: 2, max_train_grp_loss:  15.9579, max_train_grp_loss_index: 1, max_val_grp_loss:  15.0063, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.4566, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:25,410 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  13.4339, val_loss:  12.2720, grad_norm: 0.0048, live_grad: 0.0000, reward_err: 0.0031, 0.0319, 0.0015, KL_dist: 0.6563, 0.3521, 0.6884, param: [4.11542234 9.54485874 4.96135419 8.95314734], weights: [0.27975241 0.29158412 0.42866347], train_wt_loss:  40.3017, val_wt_loss: 36.8160, train_grp_loss: [11.6898449  15.94973627 11.13001506], val_grp_loss: [10.57670447 14.99733481 11.25830082], train_hist_grp_loss: [0.26664348 0.30806709 0.6934107 ], cur_train_grp_loss: [0.09420882 0.12370463 0.23677867], max_reward_err:  0.0319, max_reward_err_index: 1, max_kl_dist:  0.6884, max_kl_dist_index: 2, max_train_grp_loss:  15.9497, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9973, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2368, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:26,528 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  13.4340, val_loss:  12.2729, grad_norm: 0.0047, live_grad: 0.0000, reward_err: 0.0034, 0.0319, 0.0014, KL_dist: 0.6572, 0.3525, 0.6893, param: [4.11043287 9.52908274 4.97206497 8.97880234], weights: [0.26039001 0.27949169 0.4601183 ], train_wt_loss:  40.3021, val_wt_loss: 36.8188, train_grp_loss: [11.69224887 15.94806374 11.12911187], val_grp_loss: [10.57670104 14.998038   11.26034444], train_hist_grp_loss: [0.36091643 0.43170846 0.93021953], cur_train_grp_loss: [0.09427294 0.12364137 0.23680883], max_reward_err:  0.0319, max_reward_err_index: 1, max_kl_dist:  0.6893, max_kl_dist_index: 2, max_train_grp_loss:  15.9481, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9980, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2368, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:27,638 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  13.4343, val_loss:  12.2749, grad_norm: 0.0053, live_grad: 0.0000, reward_err: 0.0034, 0.0319, 0.0014, KL_dist: 0.6586, 0.3532, 0.6909, param: [4.10287127 9.51842886 4.98053153 9.01018   ], weights: [0.24137279 0.26679236 0.49183484], train_wt_loss:  40.3029, val_wt_loss: 36.8246, train_grp_loss: [11.68905573 15.95293462 11.12588221], val_grp_loss: [10.57183739 15.00852193 11.26059737], train_hist_grp_loss: [0.45520876 0.55533686 1.16700914], cur_train_grp_loss: [0.09429233 0.1236284  0.23678961], max_reward_err:  0.0319, max_reward_err_index: 1, max_kl_dist:  0.6909, max_kl_dist_index: 2, max_train_grp_loss:  15.9529, max_train_grp_loss_index: 1, max_val_grp_loss:  15.0085, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2368, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:28,779 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  13.4347, val_loss:  12.2779, grad_norm: 0.0065, live_grad: 0.0000, reward_err: 0.0034, 0.0319, 0.0014, KL_dist: 0.6603, 0.3544, 0.6931, param: [4.09272726 9.51274477 4.98662746 9.04717618], weights: [0.22282071 0.25363472 0.52354457], train_wt_loss:  40.3042, val_wt_loss: 36.8336, train_grp_loss: [11.68030673 15.96435262 11.12037444], val_grp_loss: [10.5621835  15.02878492 11.25909917], train_hist_grp_loss: [0.54947533 0.67900302 1.40373004], cur_train_grp_loss: [0.09426658 0.12366616 0.2367209 ], max_reward_err:  0.0319, max_reward_err_index: 1, max_kl_dist:  0.6931, max_kl_dist_index: 2, max_train_grp_loss:  15.9644, max_train_grp_loss_index: 1, max_val_grp_loss:  15.0288, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2367, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:29,841 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  13.4354, val_loss:  12.2820, grad_norm: 0.0084, live_grad: 0.0000, reward_err: 0.0032, 0.0323, 0.0015, KL_dist: 0.6625, 0.3560, 0.6959, param: [4.08000727 9.5118028  4.99023338 9.08957023], weights: [0.2048482  0.24017205 0.55497975], train_wt_loss:  40.3061, val_wt_loss: 36.8459, train_grp_loss: [11.66613817 15.98226431 11.11269134], val_grp_loss: [10.54789693 15.05872479 11.25593697], train_hist_grp_loss: [0.64367136 0.80275769 1.64033375], cur_train_grp_loss: [0.09419602 0.12375467 0.23660371], max_reward_err:  0.0323, max_reward_err_index: 1, max_kl_dist:  0.6959, max_kl_dist_index: 2, max_train_grp_loss:  15.9823, max_train_grp_loss_index: 1, max_val_grp_loss:  15.0587, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2366, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:30,921 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  13.4363, val_loss:  12.2873, grad_norm: 0.0110, live_grad: 0.0000, reward_err: 0.0029, 0.0338, 0.0017, KL_dist: 0.6650, 0.3579, 0.6993, param: [4.06473706 9.51530549 4.99124387 9.13702428], weights: [0.18756003 0.22655711 0.58588285], train_wt_loss:  40.3089, val_wt_loss: 36.8618, train_grp_loss: [11.64678058 16.00655463 11.10298733], val_grp_loss: [10.52922063 15.09813191 11.25124283], train_hist_grp_loss: [0.73775312 0.92665121 1.87677399], cur_train_grp_loss: [0.09408176 0.12389352 0.23644024], max_reward_err:  0.0338, max_reward_err_index: 1, max_kl_dist:  0.6993, max_kl_dist_index: 2, max_train_grp_loss:  16.0066, max_train_grp_loss_index: 1, max_val_grp_loss:  15.0981, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2364, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:31,936 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  13.4376, val_loss:  12.2938, grad_norm: 0.0143, live_grad: 0.0000, reward_err: 0.0029, 0.0346, 0.0017, KL_dist: 0.6679, 0.3602, 0.7032, param: [4.04696404 9.52289539 4.9895748  9.18908819], weights: [0.17104772 0.21293711 0.61601517], train_wt_loss:  40.3127, val_wt_loss: 36.8813, train_grp_loss: [11.6225534  16.03704478 11.09146282], val_grp_loss: [10.50647657 15.1466862  11.24518851], train_hist_grp_loss: [0.83167877 1.05073303 2.11300777], cur_train_grp_loss: [0.09392565 0.12408182 0.23623377], max_reward_err:  0.0346, max_reward_err_index: 1, max_kl_dist:  0.7032, max_kl_dist_index: 2, max_train_grp_loss:  16.0370, max_train_grp_loss_index: 1, max_val_grp_loss:  15.1467, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2362, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:32,935 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  13.4393, val_loss:  12.3015, grad_norm: 0.0186, live_grad: 0.0000, reward_err: 0.0028, 0.0346, 0.0017, KL_dist: 0.6710, 0.3628, 0.7076, param: [4.02675939 9.5341686  4.98517047 9.2452099 ], weights: [0.15538677 0.19944918 0.64516404], train_wt_loss:  40.3180, val_wt_loss: 36.9046, train_grp_loss: [11.59385537 16.07349218 11.07835615], val_grp_loss: [10.48005524 15.20395841 11.23797795], train_hist_grp_loss: [0.92540904 1.17505121 2.34899634], cur_train_grp_loss: [0.09373027 0.12431818 0.23598857], max_reward_err:  0.0346, max_reward_err_index: 1, max_kl_dist:  0.7076, max_kl_dist_index: 2, max_train_grp_loss:  16.0735, max_train_grp_loss_index: 1, max_val_grp_loss:  15.2040, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2360, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:33,955 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  13.4417, val_loss:  12.3106, grad_norm: 0.0239, live_grad: 0.0000, reward_err: 0.0028, 0.0350, 0.0017, KL_dist: 0.6744, 0.3658, 0.7124, param: [4.00421964 9.54869097 4.97800987 9.30475086], weights: [0.14063494 0.18621678 0.67314828], train_wt_loss:  40.3250, val_wt_loss: 36.9319, train_grp_loss: [11.56115132 16.11559287 11.0639337 ], val_grp_loss: [10.45040204 15.26941568 11.22983818], train_hist_grp_loss: [1.01890787 1.29965192 2.58470604], cur_train_grp_loss: [0.09349883 0.12460071 0.23570971], max_reward_err:  0.0350, max_reward_err_index: 1, max_kl_dist:  0.7124, max_kl_dist_index: 2, max_train_grp_loss:  16.1156, max_train_grp_loss_index: 1, max_val_grp_loss:  15.2694, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2357, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:17:34,941 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  13.4447, val_loss:  12.3211, grad_norm: 0.0302, live_grad: 0.0000, reward_err: 0.0028, 0.0354, 0.0017, KL_dist: 0.6779, 0.3690, 0.7176, param: [3.97946766 9.56601573 4.96811174 9.36700564], weights: [0.12683149 0.17334701 0.6998215 ], train_wt_loss:  40.3340, val_wt_loss: 36.9634, train_grp_loss: [11.52495644 16.16298588 11.04847894], val_grp_loss: [10.41800147 15.3424311  11.22100916], train_hist_grp_loss: [1.11214296 1.424579   2.82010889], cur_train_grp_loss: [0.09323509 0.12492708 0.23540284], max_reward_err:  0.0354, max_reward_err_index: 1, max_kl_dist:  0.7176, max_kl_dist_index: 2, max_train_grp_loss:  16.1630, max_train_grp_loss_index: 1, max_val_grp_loss:  15.3424, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2354, max_cur_train_grp_loss_index: 2, 
