2024-10-07 17:19:12,513 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.1,0.1,1,2023
2024-10-07 17:19:12,515 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 17:19:12,516 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:19:12,605 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 17:19:12,606 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:19:12,606 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 17:19:12,814 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 17:19:13,044 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:19:14,350 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6263, val_loss:  12.2213, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0092, 0.0189, 0.0010, KL_dist: 0.6793, 0.3255, 0.6811, param: [ 4.86984388  6.96415822  5.68975979 10.30138106], weights: [0.30678156 0.31019421 0.38302423], train_wt_loss:  37.8789, val_wt_loss: 36.6638, train_grp_loss: [11.42332967 13.78302986 12.99372611], val_grp_loss: [12.57498377 12.87149034 11.21534873], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6811, max_kl_dist_index: 2, max_train_grp_loss:  13.7830, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8715, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:15,413 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.6265, val_loss:  12.2256, grad_norm: 0.0024, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0011, KL_dist: 0.6791, 0.3255, 0.6802, param: [ 4.85856705  6.92260117  5.71822439 10.31137653], weights: [0.28448712 0.29580564 0.41970725], train_wt_loss:  37.8795, val_wt_loss: 36.6769, train_grp_loss: [11.44165721 13.76346244 12.99379072], val_grp_loss: [12.59424599 12.85583058 11.22494335], train_hist_grp_loss: [0.22212367 0.26113831 0.61099314], cur_train_grp_loss: [0.08787177 0.11582378 0.25477894], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6802, max_kl_dist_index: 2, max_train_grp_loss:  13.7635, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8558, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2548, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:16,484 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.6269, val_loss:  12.2306, grad_norm: 0.0037, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0011, KL_dist: 0.6796, 0.3258, 0.6803, param: [ 4.84295833  6.8841225   5.74502291 10.33503432], weights: [0.26233058 0.28041389 0.45725553], train_wt_loss:  37.8808, val_wt_loss: 36.6919, train_grp_loss: [11.45207245 13.75416735 12.99149404], val_grp_loss: [12.60625113 12.85264316 11.23113449], train_hist_grp_loss: [0.31013642 0.37679766 0.86577335], cur_train_grp_loss: [0.08801275 0.11565935 0.25478021], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6803, max_kl_dist_index: 2, max_train_grp_loss:  13.7542, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8526, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2548, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:17,552 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.6276, val_loss:  12.2363, grad_norm: 0.0060, live_grad: 0.0000, reward_err: 0.0102, 0.0189, 0.0014, KL_dist: 0.6806, 0.3266, 0.6814, param: [ 4.82278154  6.84847161  5.76999024 10.37330216], weights: [0.24050919 0.26425325 0.49523756], train_wt_loss:  37.8829, val_wt_loss: 36.7089, train_grp_loss: [11.45415236 13.75568555 12.98667677], val_grp_loss: [12.61058494 12.86266869 11.23374807], train_hist_grp_loss: [0.39822928 0.4923789  1.12050853], cur_train_grp_loss: [0.08809286 0.11558124 0.25473518], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6814, max_kl_dist_index: 2, max_train_grp_loss:  13.7557, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8627, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2547, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:18,645 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.6286, val_loss:  12.2427, grad_norm: 0.0088, live_grad: 0.0000, reward_err: 0.0099, 0.0193, 0.0016, KL_dist: 0.6823, 0.3278, 0.6834, param: [ 4.7978042   6.81529067  5.79293314 10.42706935], weights: [0.21922239 0.24757695 0.53320065], train_wt_loss:  37.8858, val_wt_loss: 36.7282, train_grp_loss: [11.44756752 13.76857931 12.97921656], val_grp_loss: [12.60691565 12.88667552 11.23269763], train_hist_grp_loss: [0.48633814 0.60797289 1.37514925], cur_train_grp_loss: [0.08810886 0.115594   0.25464072], max_reward_err:  0.0193, max_reward_err_index: 1, max_kl_dist:  0.6834, max_kl_dist_index: 2, max_train_grp_loss:  13.7686, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8867, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2546, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:19,728 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.6300, val_loss:  12.2502, grad_norm: 0.0121, live_grad: 0.0000, reward_err: 0.0102, 0.0193, 0.0017, KL_dist: 0.6847, 0.3295, 0.6865, param: [ 4.76780882  6.7841072   5.81363742 10.49712601], weights: [0.19866172 0.23064561 0.57069267], train_wt_loss:  37.8901, val_wt_loss: 36.7505, train_grp_loss: [11.43211313 13.7934142  12.96903812], val_grp_loss: [12.5950231  12.92543625 11.22800228], train_hist_grp_loss: [0.57439636 0.72367524 1.62964369], cur_train_grp_loss: [0.08805821 0.11570235 0.25449444], max_reward_err:  0.0193, max_reward_err_index: 1, max_kl_dist:  0.6865, max_kl_dist_index: 2, max_train_grp_loss:  13.7934, max_train_grp_loss_index: 1, max_val_grp_loss:  12.9254, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2545, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:20,809 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.6321, val_loss:  12.2588, grad_norm: 0.0159, live_grad: 0.0000, reward_err: 0.0100, 0.0193, 0.0020, KL_dist: 0.6878, 0.3317, 0.6906, param: [ 4.73260716  6.75433511  5.83187851 10.58411821], weights: [0.1790013  0.21371507 0.60728363], train_wt_loss:  37.8963, val_wt_loss: 36.7765, train_grp_loss: [11.40773974 13.83073717 12.95612268], val_grp_loss: [12.57482755 12.97969857 11.21980172], train_hist_grp_loss: [0.66233569 0.83958628 1.88393856], cur_train_grp_loss: [0.08793933 0.11591104 0.25429487], max_reward_err:  0.0193, max_reward_err_index: 1, max_kl_dist:  0.6906, max_kl_dist_index: 2, max_train_grp_loss:  13.8307, max_train_grp_loss_index: 1, max_val_grp_loss:  12.9797, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2543, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:21,788 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.6350, val_loss:  12.2691, grad_norm: 0.0206, live_grad: 0.0000, reward_err: 0.0099, 0.0209, 0.0022, KL_dist: 0.6915, 0.3344, 0.6957, param: [ 4.69205719  6.72528641  5.84743501 10.68850083], weights: [0.16038977 0.19702494 0.64258529], train_wt_loss:  37.9051, val_wt_loss: 36.8073, train_grp_loss: [11.37458082 13.88105086 12.9405162 ], val_grp_loss: [12.54641585 13.05015056 11.208366  ], train_hist_grp_loss: [0.75008753 0.95581097 2.13798018], cur_train_grp_loss: [0.08775184 0.11622468 0.25404162], max_reward_err:  0.0209, max_reward_err_index: 1, max_kl_dist:  0.6957, max_kl_dist_index: 2, max_train_grp_loss:  13.8811, max_train_grp_loss_index: 1, max_val_grp_loss:  13.0502, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2540, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:22,812 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.6392, val_loss:  12.2814, grad_norm: 0.0263, live_grad: 0.0000, reward_err: 0.0099, 0.0217, 0.0022, KL_dist: 0.6960, 0.3376, 0.7018, param: [ 4.64608206  6.69619495  5.86010451 10.81049074], weights: [0.14294443 0.18078891 0.67626665], train_wt_loss:  37.9176, val_wt_loss: 36.8441, train_grp_loss: [11.33297393 13.94478424 12.92233529], val_grp_loss: [12.5100618  13.13738068 11.19409805], train_hist_grp_loss: [0.83758431 1.07245845 2.39171579], cur_train_grp_loss: [0.08749678 0.11664749 0.25373561], max_reward_err:  0.0217, max_reward_err_index: 1, max_kl_dist:  0.7018, max_kl_dist_index: 2, max_train_grp_loss:  13.9448, max_train_grp_loss_index: 1, max_val_grp_loss:  13.1374, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2537, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:23,799 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.6450, val_loss:  12.2961, grad_norm: 0.0334, live_grad: 0.0000, reward_err: 0.0095, 0.0229, 0.0023, KL_dist: 0.7011, 0.3415, 0.7090, param: [ 4.59468975  6.66625197  5.86972023 10.9500232 ], weights: [0.12674804 0.16518757 0.70806439], train_wt_loss:  37.9349, val_wt_loss: 36.8884, train_grp_loss: [11.28347256 14.02226011 12.90176997], val_grp_loss: [12.46623784 13.24183334 11.17752721], train_hist_grp_loss: [0.92476103 1.18964151 2.64509491], cur_train_grp_loss: [0.08717672 0.11718306 0.25337912], max_reward_err:  0.0229, max_reward_err_index: 1, max_kl_dist:  0.7090, max_kl_dist_index: 2, max_train_grp_loss:  14.0223, max_train_grp_loss_index: 1, max_val_grp_loss:  13.2418, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2534, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:19:24,786 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.6528, val_loss:  12.3139, grad_norm: 0.0420, live_grad: 0.0000, reward_err: 0.0097, 0.0242, 0.0024, KL_dist: 0.7068, 0.3459, 0.7171, param: [ 4.53799131  6.6346513   5.87616695 11.106715  ], weights: [0.11184815 0.15036427 0.73778758], train_wt_loss:  37.9585, val_wt_loss: 36.9418, train_grp_loss: [11.22684552 14.11366037 12.87908251], val_grp_loss: [12.41561547 13.3637617  11.15929292], train_hist_grp_loss: [1.01155697 1.30747563 2.89807079], cur_train_grp_loss: [0.08679594 0.11783412 0.25297588], max_reward_err:  0.0242, max_reward_err_index: 1, max_kl_dist:  0.7171, max_kl_dist_index: 2, max_train_grp_loss:  14.1137, max_train_grp_loss_index: 1, max_val_grp_loss:  13.3638, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2530, max_cur_train_grp_loss_index: 2, 
