2024-10-07 17:28:16,325 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.2,0.1,0.1,2022
2024-10-07 17:28:16,327 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2022
2024-10-07 17:28:16,328 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:28:16,415 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.3214, l2 distance: 25.6155, acc: 0.89.
2024-10-07 17:28:16,416 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:28:16,417 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 4.91492317 13.51244723  6.71533233  9.49961375]
2024-10-07 17:28:16,625 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8530, 6.9304, 3.3326
2024-10-07 17:28:16,849 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:28:18,047 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  13.4334, val_loss:  12.2626, grad_norm: 0.5704, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6510, 0.3482, 0.6813, param: [4.14843583 9.52724086 4.95510366 8.8621961 ], weights: [0.33003072 0.33042461 0.33954466], train_wt_loss:  40.3003, val_wt_loss: 36.7878, train_grp_loss: [11.73152113 15.90071696 11.15160157], val_grp_loss: [10.61699614 14.91775387 11.26897761], train_hist_grp_loss: [0.17243466 0.18436246 0.45663202], cur_train_grp_loss: [0.17243466 0.18436246 0.45663202], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6813, max_kl_dist_index: 2, max_train_grp_loss:  15.9007, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9178, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.4566, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:19,077 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  13.4334, val_loss:  12.2625, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3481, 0.6812, param: [4.14861844 9.52438716 4.95666684 8.86313813], weights: [0.32811886 0.32945308 0.34242806], train_wt_loss:  40.3003, val_wt_loss: 36.7874, train_grp_loss: [11.73321321 15.89889274 11.15213802], val_grp_loss: [10.61827278 14.91532182 11.26965348], train_hist_grp_loss: [0.2670437  0.30762383 0.69390014], cur_train_grp_loss: [0.09460904 0.12326137 0.23726812], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6812, max_kl_dist_index: 2, max_train_grp_loss:  15.8989, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9153, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:20,098 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  13.4334, val_loss:  12.2623, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3480, 0.6811, param: [4.14877769 9.52158362 4.95821291 8.86413337], weights: [0.32620587 0.3284712  0.34532293], train_wt_loss:  40.3003, val_wt_loss: 36.7869, train_grp_loss: [11.7348543  15.89712785 11.15265273], val_grp_loss: [10.61950434 14.91297834 11.27031272], train_hist_grp_loss: [0.36166639 0.43087106 0.93117967], cur_train_grp_loss: [0.09462269 0.12324723 0.23727953], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6811, max_kl_dist_index: 2, max_train_grp_loss:  15.8971, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9130, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:21,184 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  13.4334, val_loss:  12.2622, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3479, 0.6810, param: [4.14891353 9.51883034 4.95974179 8.86518208], weights: [0.32429184 0.32747905 0.34822911], train_wt_loss:  40.3003, val_wt_loss: 36.7865, train_grp_loss: [11.73644415 15.89542247 11.15314558], val_grp_loss: [10.62069059 14.91072372 11.27095522], train_hist_grp_loss: [0.45630231 0.55410461 1.16847016], cur_train_grp_loss: [0.09463592 0.12323355 0.23729048], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6810, max_kl_dist_index: 2, max_train_grp_loss:  15.8954, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9107, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:22,255 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  13.4334, val_loss:  12.2620, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6509, 0.3479, 0.6810, param: [4.1490259  9.51612745 4.96125335 8.86628451], weights: [0.32237687 0.32647672 0.35114641], train_wt_loss:  40.3003, val_wt_loss: 36.7861, train_grp_loss: [11.7379825  15.89377676 11.15361643], val_grp_loss: [10.62183132 14.90855822 11.27158086], train_hist_grp_loss: [0.55095105 0.67732494 1.40577113], cur_train_grp_loss: [0.09464874 0.12322033 0.23730097], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6810, max_kl_dist_index: 2, max_train_grp_loss:  15.8938, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9086, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:23,340 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  13.4334, val_loss:  12.2619, grad_norm: 0.0004, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6508, 0.3478, 0.6809, param: [4.14911474 9.51347505 4.9627475  8.86744092], weights: [0.32046105 0.3254643  0.35407464], train_wt_loss:  40.3003, val_wt_loss: 36.7858, train_grp_loss: [11.73946911 15.89219087 11.15406516], val_grp_loss: [10.62292634 14.90648214 11.27218952], train_hist_grp_loss: [0.6456122  0.80053251 1.64308212], cur_train_grp_loss: [0.09466115 0.12320757 0.23731099], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6809, max_kl_dist_index: 2, max_train_grp_loss:  15.8922, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9065, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:24,404 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  13.4334, val_loss:  12.2618, grad_norm: 0.0005, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6508, 0.3478, 0.6809, param: [4.14918001 9.51087326 4.96422413 8.86865156], weights: [0.3185445  0.32444189 0.35701361], train_wt_loss:  40.3003, val_wt_loss: 36.7854, train_grp_loss: [11.74090373 15.89066498 11.15449164], val_grp_loss: [10.62397543 14.90449574 11.27278109], train_hist_grp_loss: [0.74028534 0.92372779 1.88040265], cur_train_grp_loss: [0.09467314 0.12319528 0.23732054], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6809, max_kl_dist_index: 2, max_train_grp_loss:  15.8907, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9045, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:25,454 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  13.4334, val_loss:  12.2617, grad_norm: 0.0006, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6508, 0.3477, 0.6808, param: [4.14922165 9.50832216 4.96568313 8.86991665], weights: [0.31662731 0.32340956 0.35996313], train_wt_loss:  40.3003, val_wt_loss: 36.7851, train_grp_loss: [11.74228613 15.88919923 11.15489574], val_grp_loss: [10.6249784  14.90259929 11.27335547], train_hist_grp_loss: [0.83497005 1.04691124 2.11773226], cur_train_grp_loss: [0.09468471 0.12318345 0.23732961], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8892, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9026, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:26,465 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  13.4334, val_loss:  12.2616, grad_norm: 0.0008, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6508, 0.3477, 0.6808, param: [4.1492396  9.50582185 4.9671244  8.87123644], weights: [0.31470958 0.32236743 0.362923  ], train_wt_loss:  40.3003, val_wt_loss: 36.7848, train_grp_loss: [11.74361608 15.88779378 11.15527736], val_grp_loss: [10.62593507 14.90079305 11.27391256], train_hist_grp_loss: [0.92966591 1.17008333 2.35507047], cur_train_grp_loss: [0.09469586 0.12317209 0.23733821], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6808, max_kl_dist_index: 2, max_train_grp_loss:  15.8878, max_train_grp_loss_index: 1, max_val_grp_loss:  14.9008, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:27,473 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  13.4334, val_loss:  12.2615, grad_norm: 0.0009, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6508, 0.3476, 0.6807, param: [4.14923382 9.50337241 4.96854781 8.87261113], weights: [0.31279141 0.32131558 0.36589301], train_wt_loss:  40.3003, val_wt_loss: 36.7846, train_grp_loss: [11.74489334 15.88644878 11.15563637], val_grp_loss: [10.62684525 14.89907729 11.27445224], train_hist_grp_loss: [1.02437249 1.29324452 2.59241679], cur_train_grp_loss: [0.09470658 0.12316119 0.23734633], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8864, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8991, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2373, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:28:28,465 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  13.4335, val_loss:  12.2615, grad_norm: 0.0010, live_grad: 0.0000, reward_err: 0.0036, 0.0310, 0.0012, KL_dist: 0.6508, 0.3476, 0.6807, param: [4.14920424 9.50097394 4.96995327 8.87404096], weights: [0.31087291 0.32025411 0.36887297], train_wt_loss:  40.3004, val_wt_loss: 36.7844, train_grp_loss: [11.74611771 15.88516438 11.15597268], val_grp_loss: [10.62770877 14.89745226 11.27497444], train_hist_grp_loss: [1.11908937 1.41639529 2.82977076], cur_train_grp_loss: [0.09471688 0.12315077 0.23735397], max_reward_err:  0.0310, max_reward_err_index: 1, max_kl_dist:  0.6807, max_kl_dist_index: 2, max_train_grp_loss:  15.8852, max_train_grp_loss_index: 1, max_val_grp_loss:  14.8975, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2374, max_cur_train_grp_loss_index: 2, 
