2024-10-07 17:30:04,332 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.2,0.1,0.1,2023
2024-10-07 17:30:04,334 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2023
2024-10-07 17:30:04,334 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:30:04,424 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2729, l2 distance: 29.4548, acc: 0.92.
2024-10-07 17:30:04,424 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:30:04,425 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 6.99981245 12.85202501  8.22225193 12.39503134]
2024-10-07 17:30:04,635 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8503, 7.1054, 3.3198
2024-10-07 17:30:04,863 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:30:06,058 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.6261, val_loss:  12.2168, grad_norm: 0.4066, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6770, 0.3239, 0.6779, param: [ 4.897829    6.97796199  5.67603919 10.23833146], weights: [0.33073691 0.33110299 0.3381601 ], train_wt_loss:  37.8784, val_wt_loss: 36.6505, train_grp_loss: [11.44552015 13.75359224 13.00478332], val_grp_loss: [12.59390297 12.83047537 11.22426656], train_hist_grp_loss: [0.1342519  0.14531453 0.3562142 ], cur_train_grp_loss: [0.1342519  0.14531453 0.3562142 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6779, max_kl_dist_index: 2, max_train_grp_loss:  13.7536, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8305, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.3562, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:07,117 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.6261, val_loss:  12.2172, grad_norm: 0.0002, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6769, 0.3239, 0.6777, param: [ 4.89728117  6.9735816   5.67897602 10.23759433], weights: [0.3285664 0.329837  0.3415966], train_wt_loss:  37.8784, val_wt_loss: 36.6516, train_grp_loss: [11.44827564 13.75045405 13.00509061], val_grp_loss: [12.59666701 12.82744062 11.22562654], train_hist_grp_loss: [0.22229436 0.26089094 0.61120995], cur_train_grp_loss: [0.08804246 0.11557641 0.25499575], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6777, max_kl_dist_index: 2, max_train_grp_loss:  13.7505, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8274, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:08,169 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.6261, val_loss:  12.2176, grad_norm: 0.0003, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6768, 0.3238, 0.6775, param: [ 4.89669599  6.96923312  5.68189983 10.23697095], weights: [0.32639319 0.32855723 0.34504958], train_wt_loss:  37.8784, val_wt_loss: 36.6527, train_grp_loss: [11.45096375 13.74740421 13.00537825], val_grp_loss: [12.59936964 12.82451194 11.22695768], train_hist_grp_loss: [0.31035802 0.37644097 0.86621172], cur_train_grp_loss: [0.08806366 0.11555003 0.25500178], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6775, max_kl_dist_index: 2, max_train_grp_loss:  13.7474, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8245, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:09,252 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.6261, val_loss:  12.2179, grad_norm: 0.0005, live_grad: 0.0000, reward_err: 0.0095, 0.0189, 0.0009, KL_dist: 0.6767, 0.3238, 0.6773, param: [ 4.89607325  6.96491653  5.68481053 10.23646226], weights: [0.32421742 0.32726383 0.34851875], train_wt_loss:  37.8784, val_wt_loss: 36.6538, train_grp_loss: [11.45358395 13.74444318 13.00564605], val_grp_loss: [12.60201036 12.82168993 11.22825967], train_hist_grp_loss: [0.39844236 0.49196538 1.12121914], cur_train_grp_loss: [0.08808434 0.11552441 0.25500742], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6773, max_kl_dist_index: 2, max_train_grp_loss:  13.7444, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8217, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:10,352 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.6262, val_loss:  12.2183, grad_norm: 0.0007, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6771, param: [ 4.89541273  6.96063176  5.68770805 10.23606918], weights: [0.32203926 0.32595694 0.3520038 ], train_wt_loss:  37.8785, val_wt_loss: 36.6549, train_grp_loss: [11.4561357  13.7415714  13.00589382], val_grp_loss: [12.60458866 12.81897521 11.22953223], train_hist_grp_loss: [0.48654685 0.6074649  1.37623181], cur_train_grp_loss: [0.08810449 0.11549952 0.25501267], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6771, max_kl_dist_index: 2, max_train_grp_loss:  13.7416, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8190, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:11,398 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.6262, val_loss:  12.2187, grad_norm: 0.0009, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6766, 0.3237, 0.6770, param: [ 4.89471421  6.95637877  5.69059229 10.23579268], weights: [0.31985886 0.32463672 0.35550442], train_wt_loss:  37.8785, val_wt_loss: 36.6560, train_grp_loss: [11.4586185  13.73878932 13.00612133], val_grp_loss: [12.60710407 12.8163684  11.23077506], train_hist_grp_loss: [0.57467097 0.72294029 1.63124933], cur_train_grp_loss: [0.08812412 0.11547539 0.25501753], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6770, max_kl_dist_index: 2, max_train_grp_loss:  13.7388, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8164, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:12,448 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.6262, val_loss:  12.2191, grad_norm: 0.0011, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6765, 0.3237, 0.6768, param: [ 4.89397747  6.9521575   5.69346316 10.23563368], weights: [0.31767638 0.32330333 0.35902029], train_wt_loss:  37.8785, val_wt_loss: 36.6572, train_grp_loss: [11.46103182 13.7360974  13.0063284 ], val_grp_loss: [12.60955607 12.81387013 11.23198786], train_hist_grp_loss: [0.66281419 0.8383923  1.88627132], cur_train_grp_loss: [0.08814322 0.11545201 0.25502199], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6768, max_kl_dist_index: 2, max_train_grp_loss:  13.7361, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8139, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:13,521 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.6262, val_loss:  12.2195, grad_norm: 0.0013, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6764, 0.3236, 0.6767, param: [ 4.89320227  6.94796788  5.69632056 10.23559316], weights: [0.31549197 0.32195694 0.36255108], train_wt_loss:  37.8786, val_wt_loss: 36.6584, train_grp_loss: [11.46337514 13.7334961  13.00651482], val_grp_loss: [12.61194418 12.81148105 11.23317037], train_hist_grp_loss: [0.75097597 0.95382169 2.14129737], cur_train_grp_loss: [0.08816178 0.11542939 0.25502605], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6767, max_kl_dist_index: 2, max_train_grp_loss:  13.7335, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8115, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:14,540 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.6262, val_loss:  12.2199, grad_norm: 0.0015, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6764, 0.3236, 0.6765, param: [ 4.8923884   6.94380984  5.6991644  10.23567205], weights: [0.31330582 0.32059771 0.36609647], train_wt_loss:  37.8786, val_wt_loss: 36.6596, train_grp_loss: [11.46564795 13.73098589 13.0066804 ], val_grp_loss: [12.61426792 12.80920177 11.23432228], train_hist_grp_loss: [0.83915578 1.06922922 2.39632707], cur_train_grp_loss: [0.08817981 0.11540753 0.2550297 ], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6765, max_kl_dist_index: 2, max_train_grp_loss:  13.7310, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8092, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:15,546 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.6262, val_loss:  12.2203, grad_norm: 0.0017, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6763, 0.3236, 0.6764, param: [ 4.89153563  6.9396833   5.70199457 10.23587131], weights: [0.31111807 0.31922581 0.36965612], train_wt_loss:  37.8787, val_wt_loss: 36.6608, train_grp_loss: [11.46784974 13.72856724 13.00682494], val_grp_loss: [12.61652678 12.80703297 11.23544334], train_hist_grp_loss: [0.92735307 1.18461565 2.65136002], cur_train_grp_loss: [0.08819729 0.11538644 0.25503295], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6764, max_kl_dist_index: 2, max_train_grp_loss:  13.7286, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8070, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:30:16,546 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.6262, val_loss:  12.2207, grad_norm: 0.0019, live_grad: 0.0000, reward_err: 0.0098, 0.0189, 0.0009, KL_dist: 0.6763, 0.3236, 0.6763, param: [ 4.89064373  6.93558818  5.70481097 10.2361919 ], weights: [0.3089289  0.31784142 0.37322968], train_wt_loss:  37.8787, val_wt_loss: 36.6620, train_grp_loss: [11.46997998 13.72624064 13.00694824], val_grp_loss: [12.61872028 12.80497529 11.23653326], train_hist_grp_loss: [1.0155673  1.29998177 2.9063958 ], cur_train_grp_loss: [0.08821423 0.11536611 0.25503578], max_reward_err:  0.0189, max_reward_err_index: 1, max_kl_dist:  0.6763, max_kl_dist_index: 2, max_train_grp_loss:  13.7262, max_train_grp_loss_index: 1, max_val_grp_loss:  12.8050, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2550, max_cur_train_grp_loss_index: 2, 
