2024-10-07 17:31:52,557 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: Logging to log-hyperparam-search/2024_10_07_17_04_32/rdpo,0.2,0.1,1,2021
2024-10-07 17:31:52,559 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Seed: 2021
2024-10-07 17:31:52,559 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:201] - INFO: (IB) Data: 300
2024-10-07 17:31:52,647 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: MLE reward loss: 0.2351, l2 distance: 36.4442, acc: 0.90.
2024-10-07 17:31:52,648 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-10-07 17:31:52,649 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:299] - INFO: MLE reward parameter: [ 9.05939251 17.1373287   9.50347978 12.39752865]
2024-10-07 17:31:52,858 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:314] - INFO: Learned oracle reward: 3.8285, 7.1348, 3.2752
2024-10-07 17:31:53,086 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1314] - INFO: unique_group_ids: {0, 1, 2}
2024-10-07 17:31:54,297 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  0, train_loss:  12.1566, val_loss:  12.4246, grad_norm: 0.4595, live_grad: 0.0000, reward_err: 0.0098, 0.0149, 0.0001, KL_dist: 0.6659, 0.3100, 0.6608, param: [5.43158951 8.3444196  5.16696908 8.70178998], weights: [0.31016477 0.30659363 0.38324159], train_wt_loss:  36.4697, val_wt_loss: 37.2738, train_grp_loss: [11.74866721 13.14550239 10.70395786], val_grp_loss: [12.62047609 12.53046358 12.12225306], train_hist_grp_loss: [0.15100158 0.13942111 0.36256349], cur_train_grp_loss: [0.15100158 0.13942111 0.36256349], max_reward_err:  0.0149, max_reward_err_index: 1, max_kl_dist:  0.6659, max_kl_dist_index: 0, max_train_grp_loss:  13.1455, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6205, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.3626, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:31:55,318 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  1, train_loss:  12.1571, val_loss:  12.4284, grad_norm: 0.0044, live_grad: 0.0000, reward_err: 0.0100, 0.0149, 0.0001, KL_dist: 0.6692, 0.3117, 0.6639, param: [5.43721625 8.3261515  5.19704009 8.74951509], weights: [0.29473644 0.29461686 0.41064671], train_wt_loss:  36.4714, val_wt_loss: 37.2852, train_grp_loss: [11.75504324 13.14470465 10.6933317 ], val_grp_loss: [12.63198191 12.52981828 12.1228303 ], train_hist_grp_loss: [0.24499092 0.24458513 0.57664264], cur_train_grp_loss: [0.09398934 0.10516402 0.21407916], max_reward_err:  0.0149, max_reward_err_index: 1, max_kl_dist:  0.6692, max_kl_dist_index: 0, max_train_grp_loss:  13.1447, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6320, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2141, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:31:56,370 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  2, train_loss:  12.1581, val_loss:  12.4327, grad_norm: 0.0068, live_grad: 0.0000, reward_err: 0.0100, 0.0149, 0.0001, KL_dist: 0.6729, 0.3138, 0.6674, param: [5.44199623 8.30916465 5.22839291 8.80350362], weights: [0.27922034 0.28222729 0.43855237], train_wt_loss:  36.4742, val_wt_loss: 37.2982, train_grp_loss: [11.75932104 13.14735959 10.68160485], val_grp_loss: [12.64173758 12.53311046 12.12269047], train_hist_grp_loss: [0.33903126 0.34974276 0.79050928], cur_train_grp_loss: [0.09404035 0.10515764 0.21386663], max_reward_err:  0.0149, max_reward_err_index: 1, max_kl_dist:  0.6729, max_kl_dist_index: 0, max_train_grp_loss:  13.1474, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6417, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2139, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:31:57,426 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  3, train_loss:  12.1594, val_loss:  12.4376, grad_norm: 0.0101, live_grad: 0.0000, reward_err: 0.0100, 0.0143, 0.0001, KL_dist: 0.6771, 0.3160, 0.6713, param: [5.44587471 8.29331377 5.26109411 8.86391878], weights: [0.26370233 0.26951842 0.46677926], train_wt_loss:  36.4783, val_wt_loss: 37.3128, train_grp_loss: [11.76158873 13.15353508 10.66880705], val_grp_loss: [12.64981159 12.54042117 12.12190364], train_hist_grp_loss: [0.43310583 0.45492164 1.00414138], cur_train_grp_loss: [0.09407457 0.10517888 0.2136321 ], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.6771, max_kl_dist_index: 0, max_train_grp_loss:  13.1535, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6498, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2136, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:31:58,553 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  4, train_loss:  12.1614, val_loss:  12.4431, grad_norm: 0.0140, live_grad: 0.0000, reward_err: 0.0102, 0.0143, 0.0001, KL_dist: 0.6816, 0.3185, 0.6758, param: [5.44879451 8.27843064 5.29519229 8.93087991], weights: [0.24827129 0.25658846 0.49514025], train_wt_loss:  36.4841, val_wt_loss: 37.3293, train_grp_loss: [11.76196313 13.16328585 10.65498831], val_grp_loss: [12.65629178 12.55181829 12.12055766], train_hist_grp_loss: [0.52719854 0.56014992 1.21751752], cur_train_grp_loss: [0.09409271 0.10522828 0.21337614], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.6816, max_kl_dist_index: 0, max_train_grp_loss:  13.1633, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6563, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2134, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:31:59,627 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  5, train_loss:  12.1639, val_loss:  12.4493, grad_norm: 0.0187, live_grad: 0.0000, reward_err: 0.0100, 0.0143, 0.0001, KL_dist: 0.6866, 0.3212, 0.6808, param: [5.45069795 8.26432365 5.33071462 9.0044548 ], weights: [0.23301667 0.24353775 0.52344557], train_wt_loss:  36.4917, val_wt_loss: 37.3480, train_grp_loss: [11.76059044 13.17664898 10.64021957], val_grp_loss: [12.66128554 12.56735182 12.11875771], train_hist_grp_loss: [0.62129424 0.66545621 1.43061728], cur_train_grp_loss: [0.09409571 0.10530629 0.21309977], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.6866, max_kl_dist_index: 0, max_train_grp_loss:  13.1766, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6613, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2131, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:32:00,729 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  6, train_loss:  12.1671, val_loss:  12.4564, grad_norm: 0.0240, live_grad: 0.0000, reward_err: 0.0100, 0.0143, 0.0001, KL_dist: 0.6920, 0.3242, 0.6863, param: [5.45152933 8.25077819 5.3676635  9.0846527 ], weights: [0.21802585 0.23046616 0.55150799], train_wt_loss:  36.5014, val_wt_loss: 37.3692, train_grp_loss: [11.75764565 13.19363948 10.62459254], val_grp_loss: [12.66491909 12.587049   12.1166249 ], train_hist_grp_loss: [0.71537897 0.7708694  1.64342167], cur_train_grp_loss: [0.09408472 0.10541319 0.21280439], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.6920, max_kl_dist_index: 0, max_train_grp_loss:  13.1936, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6649, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2128, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:32:01,734 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  7, train_loss:  12.1712, val_loss:  12.4644, grad_norm: 0.0300, live_grad: 0.0000, reward_err: 0.0098, 0.0143, 0.0001, KL_dist: 0.6978, 0.3273, 0.6923, param: [5.45123767 8.23755827 5.40601359 9.17141843], weights: [0.20338169 0.21747042 0.57914789], train_wt_loss:  36.5136, val_wt_loss: 37.3931, train_grp_loss: [11.75333051 13.21424594 10.6082187 ], val_grp_loss: [12.66733581 12.61090967 12.11429395], train_hist_grp_loss: [0.80944013 0.87641852 1.85591353], cur_train_grp_loss: [0.09406117 0.10554912 0.21249185], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.6978, max_kl_dist_index: 0, max_train_grp_loss:  13.2142, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6673, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2125, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:32:02,732 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  8, train_loss:  12.1762, val_loss:  12.4734, grad_norm: 0.0367, live_grad: 0.0000, reward_err: 0.0097, 0.0143, 0.0001, KL_dist: 0.7039, 0.3307, 0.6987, param: [5.44977975 8.22440932 5.44570951 9.26462788], weights: [0.18916039 0.20464177 0.60619784], train_wt_loss:  36.5285, val_wt_loss: 37.4201, train_grp_loss: [11.74787011 13.23842672 10.59122735], val_grp_loss: [12.66869352 12.638902   12.11190992], train_hist_grp_loss: [0.90346678 0.98213248 2.0680779 ], cur_train_grp_loss: [0.09402664 0.10571397 0.21216437], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.7039, max_kl_dist_index: 0, max_train_grp_loss:  13.2384, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6687, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.2122, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:32:03,732 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  9, train_loss:  12.1821, val_loss:  12.4834, grad_norm: 0.0441, live_grad: 0.0000, reward_err: 0.0097, 0.0143, 0.0001, KL_dist: 0.7105, 0.3343, 0.7055, param: [5.44712305 8.21106231 5.48666425 9.36408529], weights: [0.1754296  0.19206387 0.63250653], train_wt_loss:  36.5464, val_wt_loss: 37.4503, train_grp_loss: [11.74150794 13.26610671 10.57376285], val_grp_loss: [12.66916089 12.67095893 12.10962396], train_hist_grp_loss: [0.99744974 1.0880399  2.27990245], cur_train_grp_loss: [0.09398296 0.10590741 0.21182455], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.7105, max_kl_dist_index: 0, max_train_grp_loss:  13.2661, max_train_grp_loss_index: 1, max_val_grp_loss:  12.6710, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2118, max_cur_train_grp_loss_index: 2, 
2024-10-07 17:32:04,754 - /Users/noesis/Code/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1546] - INFO: Iteration:  10, train_loss:  12.1892, val_loss:  12.4947, grad_norm: 0.0521, live_grad: 0.0000, reward_err: 0.0093, 0.0143, 0.0001, KL_dist: 0.7174, 0.3381, 0.7128, param: [5.44324873 8.19723916 5.52875876 9.46952261], weights: [0.16224709 0.1798112  0.65794171], train_wt_loss:  36.5676, val_wt_loss: 37.4840, train_grp_loss: [11.73449962 13.29717512 10.5559809 ], val_grp_loss: [12.66891287 12.70697556 12.10758845], train_hist_grp_loss: [1.0913818  1.19416875 2.4913777 ], cur_train_grp_loss: [0.09393206 0.10612885 0.21147526], max_reward_err:  0.0143, max_reward_err_index: 1, max_kl_dist:  0.7174, max_kl_dist_index: 0, max_train_grp_loss:  13.2972, max_train_grp_loss_index: 1, max_val_grp_loss:  12.7070, max_val_grp_loss_index: 1, max_cur_train_grp_loss:  0.2115, max_cur_train_grp_loss_index: 2, 
