2024-09-17 14:50:27,038 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:198] - INFO: Logging to log_rdpo/2024_09_17_14_50_24/swapped_noise1.0_[1,1,1]_2021
2024-09-17 14:50:27,040 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: (IB) Seed: 2021
2024-09-17 14:50:27,041 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Data: 300
2024-09-17 14:50:27,214 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:296] - INFO: MLE reward loss: 0.3566, l2 distance: 29.5613, acc: 0.82.
2024-09-17 14:50:27,215 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-09-17 14:50:27,216 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: MLE reward parameter: [12.9300958   5.57206545 13.55993407  6.18568546]
2024-09-17 14:50:27,450 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:313] - INFO: Learned oracle reward: 3.5203, 3.8700, 3.1356
2024-09-17 14:50:27,867 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1297] - INFO: unique_group_ids: {0, 1, 2}
2024-09-17 14:50:28,492 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  0, train_loss:  0.0017, val_loss:  0.0005, grad_norm: 0.0310, live_grad: 0.0000, reward_err: 0.1132, 0.0010, 0.0692, KL_dist: 0.2104, 0.0058, 0.1125, param: [2.9868533  1.21238081 2.67089149 0.51614833], weights: [0.33374103 0.33272764 0.33353132], train_wt_loss:  0.5107, val_wt_loss: 0.5256, train_grp_loss: [0.64781343 0.34361164 0.58492129], val_grp_loss: [0.6346728  0.35784096 0.59480549], train_hist_grp_loss: [0.64786126 0.343753   0.58500575], cur_train_grp_loss: [0.64786126 0.343753   0.58500575], max_reward_err:  0.1132, max_reward_err_index: 0, max_kl_dist:  0.2104, max_kl_dist_index: 0, max_train_grp_loss:  0.6478, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6347, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6479, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:31,257 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  100, train_loss:  0.0017, val_loss:  0.0005, grad_norm: 0.0293, live_grad: 0.0000, reward_err: 0.1090, 0.0006, 0.0654, KL_dist: 0.2164, 0.0041, 0.1161, param: [3.12959541 1.31593879 2.84360564 0.66235894], weights: [0.37461933 0.27441161 0.35096907], train_wt_loss:  0.5159, val_wt_loss: 0.5312, train_grp_loss: [0.64301408 0.33123071 0.57682329], val_grp_loss: [0.62923681 0.34353926 0.58765592], train_hist_grp_loss: [65.1920731  34.06395473 58.6708446 ], cur_train_grp_loss: [0.64306242 0.33133828 0.5769012 ], max_reward_err:  0.1090, max_reward_err_index: 0, max_kl_dist:  0.2164, max_kl_dist_index: 0, max_train_grp_loss:  0.6430, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6292, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6431, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:33,986 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  200, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0278, live_grad: 0.0000, reward_err: 0.1054, 0.0009, 0.0622, KL_dist: 0.2206, 0.0043, 0.1188, param: [3.24640409 1.42663835 2.9909652  0.80952073], weights: [0.4148208  0.22193131 0.3632479 ], train_wt_loss:  0.5236, val_wt_loss: 0.5375, train_grp_loss: [0.63811664 0.32196311 0.56928544], val_grp_loss: [0.62381389 0.33216798 0.58097953], train_hist_grp_loss: [129.25219974  66.70432864 115.97608985], cur_train_grp_loss: [0.63816634 0.32204189 0.56935858], max_reward_err:  0.1054, max_reward_err_index: 0, max_kl_dist:  0.2206, max_kl_dist_index: 0, max_train_grp_loss:  0.6381, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6238, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6382, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:36,720 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  300, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0266, live_grad: 0.0000, reward_err: 0.1000, 0.0012, 0.0575, KL_dist: 0.2230, 0.0061, 0.1205, param: [3.34170196 1.54476492 3.11645088 0.95939734], weights: [0.45327557 0.17660022 0.37012421], train_wt_loss:  0.5323, val_wt_loss: 0.5433, train_grp_loss: [0.63305964 0.31537937 0.56215683], val_grp_loss: [0.61832688 0.32325645 0.57464122], train_hist_grp_loss: [192.81501666  98.55384715 172.54885647], cur_train_grp_loss: [0.6331111  0.31543304 0.56222647], max_reward_err:  0.1000, max_reward_err_index: 0, max_kl_dist:  0.2230, max_kl_dist_index: 0, max_train_grp_loss:  0.6331, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6183, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6331, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:39,464 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  400, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0257, live_grad: 0.0000, reward_err: 0.0957, 0.0013, 0.0537, KL_dist: 0.2237, 0.0091, 0.1213, param: [3.41949627 1.67005821 3.22322696 1.11289412], weights: [0.48930957 0.13879632 0.37189411], train_wt_loss:  0.5412, val_wt_loss: 0.5480, train_grp_loss: [0.62782022 0.31116129 0.55533273], val_grp_loss: [0.61273961 0.31646404 0.56854795], train_hist_grp_loss: [255.86316458 129.86437987 228.42454378], cur_train_grp_loss: [0.62787352 0.3111926  0.55539971], max_reward_err:  0.0957, max_reward_err_index: 0, max_kl_dist:  0.2237, max_kl_dist_index: 0, max_train_grp_loss:  0.6278, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6127, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6279, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:42,207 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  500, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0249, live_grad: 0.0000, reward_err: 0.0904, 0.0024, 0.0492, KL_dist: 0.2231, 0.0135, 0.1214, param: [3.48327606 1.80188234 3.31408977 1.27027265], weights: [0.52262113 0.10816658 0.36921228], train_wt_loss:  0.5497, val_wt_loss: 0.5514, train_grp_loss: [0.62240262 0.3090669  0.5487441 ], val_grp_loss: [0.60704503 0.31154049 0.56263926], train_hist_grp_loss: [318.37843094 160.85999957 283.6299288 ], cur_train_grp_loss: [0.62245762 0.309078   0.54880898], max_reward_err:  0.0904, max_reward_err_index: 0, max_kl_dist:  0.2231, max_kl_dist_index: 0, max_train_grp_loss:  0.6224, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6070, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6225, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:44,937 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  600, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0244, live_grad: 0.0000, reward_err: 0.0863, 0.0031, 0.0457, KL_dist: 0.2214, 0.0192, 0.1210, param: [3.53597093 1.93938368 3.39144594 1.43135384], weights: [0.55319284 0.08390624 0.36290092], train_wt_loss:  0.5573, val_wt_loss: 0.5533, train_grp_loss: [0.61682802 0.30890488 0.54234818], val_grp_loss: [0.60125476 0.30829641 0.55687869], train_hist_grp_loss: [380.34394154 191.74326886 338.18625975], cur_train_grp_loss: [0.61688444 0.30889748 0.54241127], max_reward_err:  0.0863, max_reward_err_index: 0, max_kl_dist:  0.2214, max_kl_dist_index: 0, max_train_grp_loss:  0.6168, max_train_grp_loss_index: 0, max_val_grp_loss:  0.6013, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6169, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:47,779 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  700, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0242, live_grad: 0.0000, reward_err: 0.0822, 0.0046, 0.0423, KL_dist: 0.2190, 0.0261, 0.1204, param: [3.5799667  2.08162118 3.45732271 1.59569228], weights: [0.58118586 0.06501446 0.35379968], train_wt_loss:  0.5640, val_wt_loss: 0.5540, train_grp_loss: [0.61112645 0.31051645 0.53612029], val_grp_loss: [0.59539075 0.30658206 0.55124628], train_hist_grp_loss: [441.74543683 222.69935114 392.11146471], cur_train_grp_loss: [0.61118398 0.31049202 0.53618179], max_reward_err:  0.0822, max_reward_err_index: 0, max_kl_dist:  0.2190, max_kl_dist_index: 0, max_train_grp_loss:  0.6111, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5954, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6112, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:50,601 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  800, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0242, live_grad: 0.0000, reward_err: 0.0766, 0.0065, 0.0378, KL_dist: 0.2162, 0.0344, 0.1197, param: [3.61716001 2.22766139 3.51340203 1.76271148], weights: [0.60684845 0.05047847 0.34267308], train_wt_loss:  0.5698, val_wt_loss: 0.5535, train_grp_loss: [0.60533096 0.3137635  0.53004745], val_grp_loss: [0.58947922 0.30627289 0.54573266], train_hist_grp_loss: [502.57184972 253.89863349 445.42162951], cur_train_grp_loss: [0.60538927 0.31372335 0.53010744], max_reward_err:  0.0766, max_reward_err_index: 0, max_kl_dist:  0.2162, max_kl_dist_index: 0, max_train_grp_loss:  0.6053, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5895, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.6054, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:53,352 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  900, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0244, live_grad: 0.0000, reward_err: 0.0731, 0.0092, 0.0351, KL_dist: 0.2132, 0.0439, 0.1190, param: [3.64903172 2.37663878 3.56106739 1.93179885], weights: [0.63045167 0.03938033 0.330168  ], train_wt_loss:  0.5746, val_wt_loss: 0.5521, train_grp_loss: [0.5994738  0.31852135 0.52412357], val_grp_loss: [0.58354665 0.30726046 0.54033464], train_hist_grp_loss: [562.81540246 285.49840139 498.13191538], cur_train_grp_loss: [0.59953258 0.31846668 0.52418209], max_reward_err:  0.0731, max_reward_err_index: 0, max_kl_dist:  0.2132, max_kl_dist_index: 0, max_train_grp_loss:  0.5995, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5835, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5995, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:50:56,083 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1000, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0248, live_grad: 0.0000, reward_err: 0.0692, 0.0111, 0.0320, KL_dist: 0.2103, 0.0546, 0.1186, param: [3.67672368 2.5277873  3.60145394 2.10236538], weights: [0.65225155 0.03094328 0.31680517], train_wt_loss:  0.5786, val_wt_loss: 0.5500, train_grp_loss: [0.5935843  0.32467464 0.51834624], val_grp_loss: [0.57761747 0.30944704 0.53505225], train_hist_grp_loss: [622.47140956 317.64395714 550.25707819], cur_train_grp_loss: [0.59364327 0.32460656 0.51840329], max_reward_err:  0.0692, max_reward_err_index: 0, max_kl_dist:  0.2103, max_kl_dist_index: 0, max_train_grp_loss:  0.5936, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5776, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5936, max_cur_train_grp_loss_index: 0, 
