2024-09-17 14:59:51,168 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:198] - INFO: Logging to log_rdpo/2024_09_17_14_50_24/swapped_noise1.0_[1,1,1]_2022
2024-09-17 14:59:51,170 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:199] - INFO: (IB) Seed: 2022
2024-09-17 14:59:51,171 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:200] - INFO: (IB) Data: 300
2024-09-17 14:59:51,345 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:296] - INFO: MLE reward loss: 0.3429, l2 distance: 29.8423, acc: 0.82.
2024-09-17 14:59:51,346 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:297] - INFO: True reward parameter: [[1.  3.  1.  3. ]
 [3.  1.  3.  1. ]
 [1.5 2.5 1.5 2.5]]
2024-09-17 14:59:51,347 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:298] - INFO: MLE reward parameter: [14.11166716  6.22125723 12.16457928  6.6426602 ]
2024-09-17 14:59:51,580 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/experiments/run_glb_noisy.py[line:313] - INFO: Learned oracle reward: 3.5898, 3.8487, 3.1982
2024-09-17 14:59:51,854 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1297] - INFO: unique_group_ids: {0, 1, 2}
2024-09-17 14:59:52,496 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  0, train_loss:  0.0016, val_loss:  0.0005, grad_norm: 0.0340, live_grad: 0.0000, reward_err: 0.0561, 0.0380, 0.0266, KL_dist: 0.2609, 0.1621, 0.1673, param: [3.31794486 1.33450947 4.61657226 4.15232748], weights: [0.33360765 0.33292084 0.33347151], train_wt_loss:  0.4689, val_wt_loss: 0.4828, train_grp_loss: [0.56395343 0.35769462 0.52312833], val_grp_loss: [0.55626795 0.36101401 0.52425212], train_hist_grp_loss: [0.56397062 0.35788553 0.52315607], cur_train_grp_loss: [0.56397062 0.35788553 0.52315607], max_reward_err:  0.0561, max_reward_err_index: 0, max_kl_dist:  0.2609, max_kl_dist_index: 0, max_train_grp_loss:  0.5640, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5563, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5640, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:59:55,294 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  100, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0319, live_grad: 0.0000, reward_err: 0.0563, 0.0337, 0.0265, KL_dist: 0.2776, 0.1583, 0.1804, param: [3.46202106 1.4985238  4.73813468 4.08138701], weights: [0.36167343 0.29143222 0.34689435], train_wt_loss:  0.4652, val_wt_loss: 0.4852, train_grp_loss: [0.56203642 0.34133517 0.52025811], val_grp_loss: [0.55449264 0.34579304 0.52094117], train_hist_grp_loss: [56.86770261 35.27428125 52.69556342], cur_train_grp_loss: [0.56205754 0.34147404 0.52028782], max_reward_err:  0.0563, max_reward_err_index: 0, max_kl_dist:  0.2776, max_kl_dist_index: 0, max_train_grp_loss:  0.5620, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5545, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5621, max_cur_train_grp_loss_index: 0, 
2024-09-17 14:59:58,092 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  200, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0302, live_grad: 0.0000, reward_err: 0.0563, 0.0326, 0.0264, KL_dist: 0.2917, 0.1586, 0.1920, param: [3.58565162 1.65478321 4.84058924 4.04762121], weights: [0.39024572 0.25091235 0.35884193], train_wt_loss:  0.4648, val_wt_loss: 0.4892, train_grp_loss: [0.55972551 0.32960366 0.51717863], val_grp_loss: [0.5522913  0.33492408 0.51759813], train_hist_grp_loss: [112.96020786  68.79291523 104.57074773], cur_train_grp_loss: [0.55975053 0.32970142 0.5172105 ], max_reward_err:  0.0563, max_reward_err_index: 0, max_kl_dist:  0.2917, max_kl_dist_index: 0, max_train_grp_loss:  0.5597, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5523, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5598, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:00,907 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  300, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0289, live_grad: 0.0000, reward_err: 0.0549, 0.0303, 0.0249, KL_dist: 0.3035, 0.1621, 0.2021, param: [3.69159737 1.80634455 4.92630647 4.045655  ], weights: [0.41836964 0.21306747 0.36856289], train_wt_loss:  0.4664, val_wt_loss: 0.4938, train_grp_loss: [0.55703557 0.32154253 0.51388303], val_grp_loss: [0.54968338 0.32754166 0.51419567], train_hist_grp_loss: [168.80265015 101.32700524 156.12725202], cur_train_grp_loss: [0.55706425 0.32160752 0.51391703], max_reward_err:  0.0549, max_reward_err_index: 0, max_kl_dist:  0.3035, max_kl_dist_index: 0, max_train_grp_loss:  0.5570, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5497, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5571, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:03,720 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  400, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0279, live_grad: 0.0000, reward_err: 0.0549, 0.0289, 0.0249, KL_dist: 0.3131, 0.1680, 0.2109, param: [3.78250374 1.95539423 4.99752945 4.07040652], weights: [0.4453448  0.17898862 0.37566657], train_wt_loss:  0.4691, val_wt_loss: 0.4981, train_grp_loss: [0.55399916 0.31642576 0.51038349], val_grp_loss: [0.54670631 0.32298272 0.51072439], train_hist_grp_loss: [224.35862455 133.20596727 207.34394031], cur_train_grp_loss: [0.5540311  0.31646428 0.51041942], max_reward_err:  0.0549, max_reward_err_index: 0, max_kl_dist:  0.3131, max_kl_dist_index: 0, max_train_grp_loss:  0.5540, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5467, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5540, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:06,562 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  500, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0271, live_grad: 0.0000, reward_err: 0.0533, 0.0292, 0.0236, KL_dist: 0.3210, 0.1760, 0.2186, param: [3.86080281 2.10338343 5.0563186  4.11727165], weights: [0.47073201 0.14920047 0.38006752], train_wt_loss:  0.4723, val_wt_loss: 0.5016, train_grp_loss: [0.55065901 0.31370275 0.50670415], val_grp_loss: [0.54340756 0.32074016 0.50718714], train_hist_grp_loss: [279.5955407  164.69573123 258.20153931], cur_train_grp_loss: [0.55069376 0.31371961 0.50674173], max_reward_err:  0.0533, max_reward_err_index: 0, max_kl_dist:  0.3210, max_kl_dist_index: 0, max_train_grp_loss:  0.5507, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5434, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5507, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:09,368 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  600, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0266, live_grad: 0.0000, reward_err: 0.0524, 0.0296, 0.0228, KL_dist: 0.3275, 0.1857, 0.2256, param: [3.92865855 2.25118998 5.10451862 4.18220283], weights: [0.49432108 0.12377568 0.38190325], train_wt_loss:  0.4756, val_wt_loss: 0.5042, train_grp_loss: [0.54706219 0.31295212 0.50287545], val_grp_loss: [0.53983857 0.32042297 0.50359437], train_hist_grp_loss: [334.48533888 196.01390039 308.68354293], cur_train_grp_loss: [0.54709928 0.312951   0.50291437], max_reward_err:  0.0524, max_reward_err_index: 0, max_kl_dist:  0.3275, max_kl_dist_index: 0, max_train_grp_loss:  0.5471, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5398, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5471, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:12,186 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  700, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0263, live_grad: 0.0000, reward_err: 0.0513, 0.0280, 0.0220, KL_dist: 0.3329, 0.1969, 0.2318, param: [3.98794535 2.39927381 5.14374458 4.26172284], weights: [0.51607694 0.10247485 0.38144821], train_wt_loss:  0.4786, val_wt_loss: 0.5057, train_grp_loss: [0.54325587 0.31384669 0.49892995], val_grp_loss: [0.53605031 0.32172551 0.49996058], train_hist_grp_loss: [389.00470021 227.34085063 358.77662373], cur_train_grp_loss: [0.54329482 0.3138305  0.49896988], max_reward_err:  0.0513, max_reward_err_index: 0, max_kl_dist:  0.3329, max_kl_dist_index: 0, max_train_grp_loss:  0.5433, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5361, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5433, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:14,990 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  800, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0261, live_grad: 0.0000, reward_err: 0.0498, 0.0281, 0.0210, KL_dist: 0.3375, 0.2094, 0.2377, param: [4.04025134 2.54780959 5.17538407 4.35289869], weights: [0.53608127 0.08487801 0.37904072], train_wt_loss:  0.4813, val_wt_loss: 0.5062, train_grp_loss: [0.53928444 0.31612822 0.49489943], val_grp_loss: [0.5320904  0.32440505 0.4963017 ], train_hist_grp_loss: [443.13490304 258.82782915 408.47069012], cur_train_grp_loss: [0.53932484 0.31609926 0.49494006], max_reward_err:  0.0498, max_reward_err_index: 0, max_kl_dist:  0.3375, max_kl_dist_index: 0, max_train_grp_loss:  0.5393, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5321, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5393, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:17,789 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  900, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0260, live_grad: 0.0000, reward_err: 0.0478, 0.0276, 0.0194, KL_dist: 0.3415, 0.2230, 0.2433, param: [4.08689845 2.69679049 5.20061152 4.45329259], weights: [0.55448157 0.07048839 0.37503003], train_wt_loss:  0.4835, val_wt_loss: 0.5059, train_grp_loss: [0.53518792 0.31958944 0.4908131 ], val_grp_loss: [0.52800151 0.3282657  0.49263341], train_hist_grp_loss: [496.86145817 290.60290654 457.75871202], cur_train_grp_loss: [0.53522939 0.31954957 0.49085415], max_reward_err:  0.0478, max_reward_err_index: 0, max_kl_dist:  0.3415, max_kl_dist_index: 0, max_train_grp_loss:  0.5352, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5280, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5352, max_cur_train_grp_loss_index: 0, 
2024-09-17 15:00:20,595 - /Users/noesis/Projects/Group-robust-preference-optimization-bandits/algos/linear_bandit/group_robust_dpo_vectorised_gradfix.py[line:1523] - INFO: Iteration:  1000, train_loss:  0.0015, val_loss:  0.0005, grad_norm: 0.0261, live_grad: 0.0000, reward_err: 0.0465, 0.0285, 0.0184, KL_dist: 0.3452, 0.2376, 0.2488, param: [4.1289719  2.84610417 5.22040987 4.5609017 ], weights: [0.57145292 0.05880342 0.36974366], train_wt_loss:  0.4854, val_wt_loss: 0.5048, train_grp_loss: [0.53100123 0.32406143 0.48669672], val_grp_loss: [0.52382069 0.33314707 0.4889701 ], train_hist_grp_loss: [550.17362892 322.77541264 506.6364142 ], cur_train_grp_loss: [0.53104344 0.32401218 0.48673795], max_reward_err:  0.0465, max_reward_err_index: 0, max_kl_dist:  0.3452, max_kl_dist_index: 0, max_train_grp_loss:  0.5310, max_train_grp_loss_index: 0, max_val_grp_loss:  0.5238, max_val_grp_loss_index: 0, max_cur_train_grp_loss:  0.5310, max_cur_train_grp_loss_index: 0, 
